edit_period,year_start,year_end,ciiu_revision_original,ciiu_var_original,ciiu4_nivel_homologacion,ciiu4_homologacion_ambigua,observaciones,ciiu_original_distintos,ciiu4_homologado_distintos,ciiu_missing,ciiu4_homologado_missing
2004_2005,2004,2005,3,ACT,division_rev3_a_rev4,FALSE,4233,15,13,0,0
2004_2005,2004,2005,3,ACT,sin_homologar,FALSE,1,0,0,1,1
2008_2009,2008,2009,3,CIIU3,clase_rev3_a_rev4,FALSE,18,1,1,0,0
2008_2009,2008,2009,3,CIIU3,division_rev3_a_rev4,FALSE,1821,9,9,0,0
2008_2009,2008,2009,3,CIIU3,grupo_rev3_a_rev4,FALSE,1823,9,8,0,0
2010_2011,2010,2011,3,CIIU3,division_rev3_a_rev4,FALSE,4399,13,13,0,0
2010_2011,2010,2011,3,CIIU3,grupo_rev3_a_rev4,FALSE,639,3,3,0,0
2016_2017,2016,2017,4,CIIU4,division_rev4_directa,FALSE,6524,16,16,0,0
2016_2017,2016,2017,4,CIIU4,grupo_rev4_directo,FALSE,2127,7,7,0,0
2018_2019,2018,2019,4,CIIU4,division_rev4_directa,FALSE,6889,16,16,0,0
2018_2019,2018,2019,4,CIIU4,grupo_rev4_directo,FALSE,2415,7,7,0,0
2020_2021,2020,2021,4,CIIU4,division_rev4_directa,FALSE,6511,16,16,0,0
2020_2021,2020,2021,4,CIIU4,grupo_rev4_directo,FALSE,2301,7,7,0,0
