edit_period,year_start,year_end,ciiu_revision_original,ciiu_var_original,ciiu4_nivel_homologacion,ciiu4_homologacion_ambigua,observaciones,ciiu_original_distintos,ciiu4_homologado_distintos,ciiu_missing,ciiu4_homologado_missing
2003_2004,2003,2004,3,ACT,grupo_rev3_a_rev4,FALSE,6172,66,48,0,0
2005_2006,2005,2006,3,ACT3,grupo_rev3_a_rev4,FALSE,6080,67,48,0,0
2007_2008,2007,2008,3,CIIU3,clase_rev3_a_rev4,FALSE,7472,127,103,0,0
2007_2008,2007,2008,3,CIIU3,grupo_rev3_a_rev4,FALSE,211,7,4,0,0
2009_2010,2009,2010,3,CIIU3,clase_rev3_a_rev4,FALSE,8390,129,104,0,0
2009_2010,2009,2010,3,CIIU3,grupo_rev3_a_rev4,FALSE,253,7,4,0,0
2011_2012,2011,2012,3,CIIU3,clase_rev3_a_rev4,FALSE,8867,126,103,0,0
2011_2012,2011,2012,3,CIIU3,grupo_rev3_a_rev4,FALSE,270,8,5,0,0
2013_2014,2013,2014,4,CIIU_4,clase_rev4_directa,FALSE,8835,127,127,0,0
2015_2016,2015,2016,4,CIIU4,clase_rev4_directa,FALSE,7947,114,114,0,0
2017_2018,2017,2018,4,CIIU4,clase_rev4_directa,FALSE,7529,135,135,0,0
2019_2020,2019,2020,4,CIIU4,clase_rev4_directa,FALSE,630,6,6,0,0
2019_2020,2019,2020,4,CIIU4,grupo_rev4_directo,FALSE,6167,49,49,0,0
