anio,rama_ptf,concepto,valor
2015,A-B_AgriculturaPesca,produccion,70669
2015,C_Mineria,produccion,97141
2015,D_Manufactura,produccion,301543
2015,E_ElectricidadGasAgua,produccion,53332
2015,F_Construccion,produccion,148426
2015,G-H_ComercioHotelesRest,produccion,164337
2015,I_TransporteComunicaciones,produccion,122366
2015,J-K_FinancieroInmobiliario,produccion,212470
2015,L-Q_ServiciosSocialesComunales,produccion,214334
2015,TOT_Economia,produccion,1384618
2015,A-B_AgriculturaPesca,valor_agregado,43342
2015,C_Mineria,valor_agregado,63594
2015,D_Manufactura,valor_agregado,95478
2015,E_ElectricidadGasAgua,valor_agregado,22786
2015,F_Construccion,valor_agregado,59069
2015,G-H_ComercioHotelesRest,valor_agregado,87424
2015,I_TransporteComunicaciones,valor_agregado,60912
2015,J-K_FinancieroInmobiliario,valor_agregado,156760
2015,L-Q_ServiciosSocialesComunales,valor_agregado,126769
2015,TOT_Economia,valor_agregado,716134
2016,A-B_AgriculturaPesca,produccion,79714
2016,C_Mineria,produccion,80406
2016,D_Manufactura,produccion,325587
2016,E_ElectricidadGasAgua,produccion,58500
2016,F_Construccion,produccion,155819
2016,G-H_ComercioHotelesRest,produccion,180307
2016,I_TransporteComunicaciones,produccion,129252
2016,J-K_FinancieroInmobiliario,produccion,222147
2016,L-Q_ServiciosSocialesComunales,produccion,230293
2016,TOT_Economia,produccion,1462025
2016,A-B_AgriculturaPesca,valor_agregado,49441
2016,C_Mineria,valor_agregado,46253
2016,D_Manufactura,valor_agregado,103006
2016,E_ElectricidadGasAgua,valor_agregado,24597
2016,F_Construccion,valor_agregado,60125
2016,G-H_ComercioHotelesRest,valor_agregado,98277
2016,I_TransporteComunicaciones,valor_agregado,64593
2016,J-K_FinancieroInmobiliario,valor_agregado,164010
2016,L-Q_ServiciosSocialesComunales,valor_agregado,136232
2016,TOT_Economia,valor_agregado,746534
2017,A-B_AgriculturaPesca,produccion,94523
2017,C_Mineria,produccion,73621
2017,D_Manufactura,produccion,336703
2017,E_ElectricidadGasAgua,produccion,64349
2017,F_Construccion,produccion,157209
2017,G-H_ComercioHotelesRest,produccion,202119
2017,I_TransporteComunicaciones,produccion,137181
2017,J-K_FinancieroInmobiliario,produccion,238151
2017,L-Q_ServiciosSocialesComunales,produccion,246579
2017,TOT_Economia,produccion,1550435
2017,A-B_AgriculturaPesca,valor_agregado,60247
2017,C_Mineria,valor_agregado,38640
2017,D_Manufactura,valor_agregado,104296
2017,E_ElectricidadGasAgua,valor_agregado,28421
2017,F_Construccion,valor_agregado,63022
2017,G-H_ComercioHotelesRest,valor_agregado,110576
2017,I_TransporteComunicaciones,valor_agregado,70020
2017,J-K_FinancieroInmobiliario,valor_agregado,174637
2017,L-Q_ServiciosSocialesComunales,valor_agregado,148772
2017,TOT_Economia,valor_agregado,798631
2018,A-B_AgriculturaPesca,produccion,95032
2018,C_Mineria,produccion,86606
2018,D_Manufactura,produccion,353735
2018,E_ElectricidadGasAgua,produccion,67394
2018,F_Construccion,produccion,158990
2018,G-H_ComercioHotelesRest,produccion,215996
2018,I_TransporteComunicaciones,produccion,146206
2018,J-K_FinancieroInmobiliario,produccion,258694
2018,L-Q_ServiciosSocialesComunales,produccion,272589
2018,TOT_Economia,produccion,1655242
2018,A-B_AgriculturaPesca,valor_agregado,59753
2018,C_Mineria,valor_agregado,46748
2018,D_Manufactura,valor_agregado,106571
2018,E_ElectricidadGasAgua,valor_agregado,30548
2018,F_Construccion,valor_agregado,63652
2018,G-H_ComercioHotelesRest,valor_agregado,120937
2018,I_TransporteComunicaciones,valor_agregado,74239
2018,J-K_FinancieroInmobiliario,valor_agregado,190102
2018,L-Q_ServiciosSocialesComunales,valor_agregado,164376
2018,TOT_Economia,valor_agregado,856926
2019,A-B_AgriculturaPesca,produccion,101117
2019,C_Mineria,produccion,103746
2019,D_Manufactura,produccion,368981
2019,E_ElectricidadGasAgua,produccion,73957
2019,F_Construccion,produccion,162565
2019,G-H_ComercioHotelesRest,produccion,232617
2019,I_TransporteComunicaciones,produccion,154077
2019,J-K_FinancieroInmobiliario,produccion,278598
2019,L-Q_ServiciosSocialesComunales,produccion,301119
2019,TOT_Economia,produccion,1776777
2019,A-B_AgriculturaPesca,valor_agregado,63168
2019,C_Mineria,valor_agregado,58900
2019,D_Manufactura,valor_agregado,111481
2019,E_ElectricidadGasAgua,valor_agregado,33438
2019,F_Construccion,valor_agregado,62576
2019,G-H_ComercioHotelesRest,valor_agregado,129786
2019,I_TransporteComunicaciones,valor_agregado,79042
2019,J-K_FinancieroInmobiliario,valor_agregado,204871
2019,L-Q_ServiciosSocialesComunales,valor_agregado,180905
2019,TOT_Economia,valor_agregado,924167
2020,A-B_AgriculturaPesca,produccion,110271
2020,C_Mineria,produccion,90492
2020,D_Manufactura,produccion,363035
2020,E_ElectricidadGasAgua,produccion,79290
2020,F_Construccion,produccion,124636
2020,G-H_ComercioHotelesRest,produccion,217869
2020,I_TransporteComunicaciones,produccion,134893
2020,J-K_FinancieroInmobiliario,produccion,285625
2020,L-Q_ServiciosSocialesComunales,produccion,298803
2020,TOT_Economia,produccion,1704914
2020,A-B_AgriculturaPesca,valor_agregado,69290
2020,C_Mineria,valor_agregado,49459
2020,D_Manufactura,valor_agregado,105117
2020,E_ElectricidadGasAgua,valor_agregado,34740
2020,F_Construccion,valor_agregado,45967
2020,G-H_ComercioHotelesRest,valor_agregado,122465
2020,I_TransporteComunicaciones,valor_agregado,68597
2020,J-K_FinancieroInmobiliario,valor_agregado,210018
2020,L-Q_ServiciosSocialesComunales,valor_agregado,184115
