anio,rama_ptf,sexo,grupo_edad,grupo_educ,horas_pond,ingreso_pond,n
2008,A-B_AgriculturaPesca,Hombre,15-29,1_Bajo,9123648.498064926,13396536585.267933,1579
2008,A-B_AgriculturaPesca,Hombre,15-29,2_Medio,5636776.009719905,10183726577.982868,975
2008,A-B_AgriculturaPesca,Hombre,15-29,3_Alto,326943.07662359637,1091739037.222094,74
2008,A-B_AgriculturaPesca,Hombre,30-49,1_Bajo,20939675.304443885,39341444448.333305,3602
2008,A-B_AgriculturaPesca,Hombre,30-49,2_Medio,5075556.492334669,11871504234.152235,980
2008,A-B_AgriculturaPesca,Hombre,30-49,3_Alto,535154.9996189828,4776120524.055167,164
2008,A-B_AgriculturaPesca,Hombre,50+,1_Bajo,14826226.030369394,28188370580.43942,2826
2008,A-B_AgriculturaPesca,Hombre,50+,2_Medio,1263752.1617526384,4404371431.892748,304
2008,A-B_AgriculturaPesca,Hombre,50+,3_Alto,398717.55020852835,3713813101.2131596,124
2008,A-B_AgriculturaPesca,Mujer,15-29,1_Bajo,641660.3768681488,978867501.7429069,138
2008,A-B_AgriculturaPesca,Mujer,15-29,2_Medio,600456.542179956,1111587334.9213712,141
2008,A-B_AgriculturaPesca,Mujer,15-29,3_Alto,151592.776990971,477807423.52371913,48
2008,A-B_AgriculturaPesca,Mujer,30-49,1_Bajo,1693560.950431637,3020167018.9386954,363
2008,A-B_AgriculturaPesca,Mujer,30-49,2_Medio,808528.8815592066,2111449829.93248,174
2008,A-B_AgriculturaPesca,Mujer,30-49,3_Alto,225420.41058968645,1777224334.2833464,81
2008,A-B_AgriculturaPesca,Mujer,50+,1_Bajo,882594.4609439316,2039684624.3688147,274
2008,A-B_AgriculturaPesca,Mujer,50+,2_Medio,88407.18354196339,333294792.1832409,37
2008,A-B_AgriculturaPesca,Mujer,50+,3_Alto,33681.914656730114,308777148.1092645,19
2008,C_Mineria,Hombre,15-29,1_Bajo,527070.3306201879,1261495656.134941,68
2008,C_Mineria,Hombre,15-29,2_Medio,756982.3284535862,1775737318.3212123,104
2008,C_Mineria,Hombre,15-29,3_Alto,340637.08705103333,1727286089.0412002,66
2008,C_Mineria,Hombre,30-49,1_Bajo,1192574.9678623562,3628394215.5039544,180
2008,C_Mineria,Hombre,30-49,2_Medio,610764.7283934156,2647867799.9603,159
2008,C_Mineria,Hombre,30-49,3_Alto,224730.23344566888,3498328824.142487,97
2008,C_Mineria,Hombre,50+,1_Bajo,333269.3449779416,698050236.0476114,77
2008,C_Mineria,Hombre,50+,2_Medio,62360.055814134415,368196485.2414837,32
2008,C_Mineria,Hombre,50+,3_Alto,96147.13550142205,2363549924.839448,34
2008,C_Mineria,Mujer,15-29,1_Bajo,75886.46827886655,111250874.42856789,13
2008,C_Mineria,Mujer,15-29,2_Medio,35816.769711166184,62905049.63483369,10
2008,C_Mineria,Mujer,15-29,3_Alto,42512.770874331654,166833983.95237938,18
2008,C_Mineria,Mujer,30-49,1_Bajo,140863.89720626263,202040520.83403638,33
2008,C_Mineria,Mujer,30-49,2_Medio,27570.77791303876,53730322.587211445,17
2008,C_Mineria,Mujer,30-49,3_Alto,78116.1141729586,1114999377.7025168,22
2008,C_Mineria,Mujer,50+,1_Bajo,74603.05580881517,70066785.23219591,18
2008,C_Mineria,Mujer,50+,2_Medio,10398.761486432915,50301283.06040916,6
2008,C_Mineria,Mujer,50+,3_Alto,2936.39767256475,19763396.74292524,2
2008,D_Manufactura,Hombre,15-29,1_Bajo,1348523.6944255172,2662304722.5714436,494
2008,D_Manufactura,Hombre,15-29,2_Medio,7063044.684158677,17268496927.002518,2470
2008,D_Manufactura,Hombre,15-29,3_Alto,2117099.3662049607,8434604890.121859,746
2008,D_Manufactura,Hombre,30-49,1_Bajo,3798907.599240636,9917560652.594412,1308
2008,D_Manufactura,Hombre,30-49,2_Medio,7643468.820137043,26554546306.027008,2789
2008,D_Manufactura,Hombre,30-49,3_Alto,2889526.1140013873,25611113570.74865,965
2008,D_Manufactura,Hombre,50+,1_Bajo,2733708.9360252437,5920832987.399156,1050
2008,D_Manufactura,Hombre,50+,2_Medio,1903595.1005761612,7917987708.859343,807
2008,D_Manufactura,Hombre,50+,3_Alto,805781.8742367096,9348453917.970713,268
2008,D_Manufactura,Mujer,15-29,1_Bajo,434065.9143335923,661772953.034692,190
2008,D_Manufactura,Mujer,15-29,2_Medio,3476238.7200451107,6839444702.321055,1287
2008,D_Manufactura,Mujer,15-29,3_Alto,1951234.1087317143,7885949145.55536,733
2008,D_Manufactura,Mujer,30-49,1_Bajo,2374507.9714454836,3913923888.5837064,1063
2008,D_Manufactura,Mujer,30-49,2_Medio,5618509.977719212,13126895168.338236,2393
2008,D_Manufactura,Mujer,30-49,3_Alto,1940983.5531830345,12508998638.378784,815
2008,D_Manufactura,Mujer,50+,1_Bajo,1880993.871490263,2746091401.799445,1156
2008,D_Manufactura,Mujer,50+,2_Medio,1068692.1862032576,2826279919.066524,740
2008,D_Manufactura,Mujer,50+,3_Alto,380353.81564764504,2541439381.268116,167
2008,E_ElectricidadGasAgua,Hombre,15-29,1_Bajo,59254.79362192343,127645989.73183239,25
2008,E_ElectricidadGasAgua,Hombre,15-29,2_Medio,150514.68748400372,379052712.5572269,101
2008,E_ElectricidadGasAgua,Hombre,15-29,3_Alto,152805.92241847396,702293624.8405524,105
2008,E_ElectricidadGasAgua,Hombre,30-49,1_Bajo,208906.52270733047,555742678.5834543,79
2008,E_ElectricidadGasAgua,Hombre,30-49,2_Medio,495985.91743227415,1686752617.7568285,235
2008,E_ElectricidadGasAgua,Hombre,30-49,3_Alto,347193.12869423,3657205262.141734,185
2008,E_ElectricidadGasAgua,Hombre,50+,1_Bajo,153920.13603972175,378840926.42163014,47
2008,E_ElectricidadGasAgua,Hombre,50+,2_Medio,123328.9310244294,744424445.9363388,53
2008,E_ElectricidadGasAgua,Hombre,50+,3_Alto,48731.01129138083,1144200751.0943844,34
2008,E_ElectricidadGasAgua,Mujer,15-29,1_Bajo,5211.855295117731,10834038.425881999,3
2008,E_ElectricidadGasAgua,Mujer,15-29,2_Medio,35796.16175017385,89532147.18703184,27
2008,E_ElectricidadGasAgua,Mujer,15-29,3_Alto,113972.6731277579,487665047.7759484,83
2008,E_ElectricidadGasAgua,Mujer,30-49,1_Bajo,22645.5640412532,47419864.91771872,18
2008,E_ElectricidadGasAgua,Mujer,30-49,2_Medio,98582.39570765154,277605984.1111976,39
2008,E_ElectricidadGasAgua,Mujer,30-49,3_Alto,172315.18762733354,1365939719.0754385,106
2008,E_ElectricidadGasAgua,Mujer,50+,1_Bajo,24877.047668038045,46994868.536002524,8
2008,E_ElectricidadGasAgua,Mujer,50+,2_Medio,9999.038908553224,33423046.952217825,8
2008,E_ElectricidadGasAgua,Mujer,50+,3_Alto,12838.99094419199,138181393.38299462,8
2008,F_Construccion,Hombre,15-29,1_Bajo,1469418.696689138,2859872271.392245,668
2008,F_Construccion,Hombre,15-29,2_Medio,3948279.9162428323,8498756723.620677,1656
2008,F_Construccion,Hombre,15-29,3_Alto,482904.7642985474,1825766597.6518111,208
2008,F_Construccion,Hombre,30-49,1_Bajo,4854965.671604769,11276389045.86543,2040
2008,F_Construccion,Hombre,30-49,2_Medio,4766167.687003049,13002166981.059668,1963
2008,F_Construccion,Hombre,30-49,3_Alto,632984.9079107954,5065002605.07442,374
2008,F_Construccion,Hombre,50+,1_Bajo,2633094.105855169,5575078221.726136,1271
2008,F_Construccion,Hombre,50+,2_Medio,990197.744844616,3193864681.875128,466
2008,F_Construccion,Hombre,50+,3_Alto,267839.5385274183,3164340325.4797945,139
2008,F_Construccion,Mujer,15-29,1_Bajo,7035.28629020449,18080796.387546696,6
2008,F_Construccion,Mujer,15-29,2_Medio,101752.85818820163,229582606.22145474,37
2008,F_Construccion,Mujer,15-29,3_Alto,132876.39960637625,611851438.7310102,74
2008,F_Construccion,Mujer,30-49,1_Bajo,43967.47325491399,74289817.31796673,18
2008,F_Construccion,Mujer,30-49,2_Medio,89366.44133857402,246130708.97541022,50
2008,F_Construccion,Mujer,30-49,3_Alto,165728.8281421158,1325061135.0989153,106
2008,F_Construccion,Mujer,50+,1_Bajo,17471.87262537906,23518295.35005661,7
2008,F_Construccion,Mujer,50+,2_Medio,23049.251849041884,105222744.64845929,11
2008,F_Construccion,Mujer,50+,3_Alto,28115.8533279614,266694648.88904643,13
2008,G-H_ComercioHotelesRest,Hombre,15-29,1_Bajo,2619577.4590791883,4872309021.451432,1052
2008,G-H_ComercioHotelesRest,Hombre,15-29,2_Medio,11472772.582251212,25055074224.99229,4832
2008,G-H_ComercioHotelesRest,Hombre,15-29,3_Alto,3061866.8178945165,10994757033.496407,1569
2008,G-H_ComercioHotelesRest,Hombre,30-49,1_Bajo,8547902.423646731,19527292636.807346,3327
2008,G-H_ComercioHotelesRest,Hombre,30-49,2_Medio,13708193.360838259,42274716657.98849,5814
2008,G-H_ComercioHotelesRest,Hombre,30-49,3_Alto,4044435.5870456956,25373392728.954628,1727
2008,G-H_ComercioHotelesRest,Hombre,50+,1_Bajo,7674183.363398892,15284962979.360271,3266
2008,G-H_ComercioHotelesRest,Hombre,50+,2_Medio,4175419.530029012,14658805654.816904,1805
2008,G-H_ComercioHotelesRest,Hombre,50+,3_Alto,1222139.480802157,9946481312.350353,452
2008,G-H_ComercioHotelesRest,Mujer,15-29,1_Bajo,1021860.0246812919,1523408377.8150134,441
2008,G-H_ComercioHotelesRest,Mujer,15-29,2_Medio,7627128.802055792,14495960168.55479,3624
2008,G-H_ComercioHotelesRest,Mujer,15-29,3_Alto,3105368.7506564013,9459742945.729267,1874
2008,G-H_ComercioHotelesRest,Mujer,30-49,1_Bajo,6559140.751135269,10396564151.126106,2683
2008,G-H_ComercioHotelesRest,Mujer,30-49,2_Medio,10823743.62642619,24585020521.916245,5409
