anio,rama_ptf,stock_capital_productivo
1990,A-B_AgriculturaPesca,13614.79659733225
1991,A-B_AgriculturaPesca,13904.24451572574
1992,A-B_AgriculturaPesca,14089.54160782676
1993,A-B_AgriculturaPesca,14236.75895691042
1994,A-B_AgriculturaPesca,14527.97632725972
1995,A-B_AgriculturaPesca,14841.5743627987
1996,A-B_AgriculturaPesca,15033.15771941114
1997,A-B_AgriculturaPesca,15461.60052217267
1998,A-B_AgriculturaPesca,16025.13169674793
1999,A-B_AgriculturaPesca,16535.25661352076
2000,A-B_AgriculturaPesca,17355.3207171646
2001,A-B_AgriculturaPesca,18356.49888281668
2002,A-B_AgriculturaPesca,19101.20754382778
2003,A-B_AgriculturaPesca,19514.38948021257
2004,A-B_AgriculturaPesca,19585.82385147323
2005,A-B_AgriculturaPesca,20302.84342054647
2006,A-B_AgriculturaPesca,20966.79993727689
2007,A-B_AgriculturaPesca,21600.64946382703
2008,A-B_AgriculturaPesca,22111.03623546548
2009,A-B_AgriculturaPesca,23088.41829529837
2010,A-B_AgriculturaPesca,23946.8394974165
2011,A-B_AgriculturaPesca,24816.62524681999
2012,A-B_AgriculturaPesca,25428.16216624003
2013,A-B_AgriculturaPesca,26137.21438066972
2014,A-B_AgriculturaPesca,26827.13459678259
2015,A-B_AgriculturaPesca,27635.67013184269
2016,A-B_AgriculturaPesca,28442.65899811759
2017,A-B_AgriculturaPesca,29259.20182008838
2018,A-B_AgriculturaPesca,29684.56116211999
2019,A-B_AgriculturaPesca,30245.10361355294
2020,A-B_AgriculturaPesca,30518.28407741767
2021,A-B_AgriculturaPesca,30857.37639924045
2022,A-B_AgriculturaPesca,31050.86490631561
2023,A-B_AgriculturaPesca,31202.21006778547
2024,A-B_AgriculturaPesca,31539.44244103171
1990,C_Mineria,40868.57206644391
1991,C_Mineria,42359.06858701447
1992,C_Mineria,43635.61604533823
1993,C_Mineria,45173.48889510439
1994,C_Mineria,46685.5666103903
1995,C_Mineria,49024.15586003934
1996,C_Mineria,51748.39222313447
1997,C_Mineria,54198.26531219605
1998,C_Mineria,56717.42046801478
1999,C_Mineria,57807.39089094481
2000,C_Mineria,60116.14848575633
2001,C_Mineria,61496.59094419463
2002,C_Mineria,63160.42387908592
2003,C_Mineria,64936.85572456902
2004,C_Mineria,67485.2935480813
2005,C_Mineria,70578.32824425661
2006,C_Mineria,74654.23255275273
2007,C_Mineria,81899.4321508367
2008,C_Mineria,90221.04287331774
2009,C_Mineria,96857.23512004195
2010,C_Mineria,104054.0946249789
2011,C_Mineria,114827.72646019
2012,C_Mineria,125868.5615640854
2013,C_Mineria,137569.626997337
2014,C_Mineria,150633.0325587295
2015,C_Mineria,161558.9426527289
2016,C_Mineria,170415.6269068002
2017,C_Mineria,177157.8703881712
2018,C_Mineria,181794.732799764
2019,C_Mineria,187202.3572003458
2020,C_Mineria,187776.2773911505
2021,C_Mineria,190856.9573179953
2022,C_Mineria,197035.8707657531
2023,C_Mineria,199655.3863518835
2024,C_Mineria,202236.2288960078
1990,D_Manufactura,91044.55328499844
1991,D_Manufactura,93268.00567690785
1992,D_Manufactura,95072.6705746432
1993,D_Manufactura,95899.02476685398
1994,D_Manufactura,96835.27946007217
1995,D_Manufactura,98197.81394638405
1996,D_Manufactura,99567.17968564383
1997,D_Manufactura,100872.8031802333
1998,D_Manufactura,102446.4106096314
1999,D_Manufactura,101702.4207112087
2000,D_Manufactura,101530.6645578485
2001,D_Manufactura,101001.34982009
2002,D_Manufactura,101274.8801010385
2003,D_Manufactura,102056.1728320789
2004,D_Manufactura,103087.460891894
2005,D_Manufactura,105149.8278295727
2006,D_Manufactura,108982.2872245527
2007,D_Manufactura,115492.6301975195
2008,D_Manufactura,123518.1152004327
2009,D_Manufactura,131212.8194034203
2010,D_Manufactura,140468.0524030938
2011,D_Manufactura,150756.4665660569
2012,D_Manufactura,162023.2878274891
2013,D_Manufactura,173737.5117859741
2014,D_Manufactura,186402.4718718395
2015,D_Manufactura,198525.0031777554
2016,D_Manufactura,204678.686952785
2017,D_Manufactura,211087.1878700267
2018,D_Manufactura,217023.0062160547
2019,D_Manufactura,223436.090069128
2020,D_Manufactura,226100.8744275527
2021,D_Manufactura,231004.8637600616
2022,D_Manufactura,240481.2992893092
2023,D_Manufactura,245563.5844947166
2024,D_Manufactura,250306.2624932945
1990,E_ElectricidadGasAgua,105306.8401860301
1991,E_ElectricidadGasAgua,108257.4892996309
1992,E_ElectricidadGasAgua,110815.5951176437
1993,E_ElectricidadGasAgua,113555.6586761974
1994,E_ElectricidadGasAgua,117630.7394678959
1995,E_ElectricidadGasAgua,124114.5973518213
1996,E_ElectricidadGasAgua,131618.8590424314
1997,E_ElectricidadGasAgua,139014.9545227737
1998,E_ElectricidadGasAgua,147286.3616140847
1999,E_ElectricidadGasAgua,153665.2358368455
2000,E_ElectricidadGasAgua,160190.2982487148
2001,E_ElectricidadGasAgua,164703.3239971212
2002,E_ElectricidadGasAgua,169685.666094089
2003,E_ElectricidadGasAgua,174550.8214377387
2004,E_ElectricidadGasAgua,178864.1631165765
2005,E_ElectricidadGasAgua,183589.682097775
2006,E_ElectricidadGasAgua,189607.0403409674
2007,E_ElectricidadGasAgua,195784.0105187215
2008,E_ElectricidadGasAgua,202381.6536461517
2009,E_ElectricidadGasAgua,210274.6825061923
2010,E_ElectricidadGasAgua,220967.3024035825
2011,E_ElectricidadGasAgua,230637.9074338376
2012,E_ElectricidadGasAgua,241018.8169180799
2013,E_ElectricidadGasAgua,252886.4709174057
2014,E_ElectricidadGasAgua,266056.6797356069
2015,E_ElectricidadGasAgua,276275.1312397422
2016,E_ElectricidadGasAgua,288978.2247794555
2017,E_ElectricidadGasAgua,301437.1732394773
2018,E_ElectricidadGasAgua,311344.6659070236
2019,E_ElectricidadGasAgua,317716.9605358434
2020,E_ElectricidadGasAgua,318352.7805301599
2021,E_ElectricidadGasAgua,322312.7228865123
2022,E_ElectricidadGasAgua,325319.3901264588
2023,E_ElectricidadGasAgua,327385.3969029528
2024,E_ElectricidadGasAgua,330858.7745487508
1990,F_Construccion,4024.975060508743
1991,F_Construccion,4181.941103472191
1992,F_Construccion,4437.765797244861
1993,F_Construccion,4679.198944606631
1994,F_Construccion,4969.544335344227
1995,F_Construccion,5348.617468610633
1996,F_Construccion,5719.564239691378
1997,F_Construccion,6130.688147250222
1998,F_Construccion,6496.396574797144
1999,F_Construccion,6362.264032589419
2000,F_Construccion,6242.909838158936
2001,F_Construccion,6058.793636912409
2002,F_Construccion,6029.798814386617
2003,F_Construccion,5952.631475964156
2004,F_Construccion,5962.571734397068
2005,F_Construccion,6078.455851777307
2006,F_Construccion,6404.499659710099
2007,F_Construccion,7055.779033427768
2008,F_Construccion,7322.552711080213
2009,F_Construccion,8083.087195996303
2010,F_Construccion,8945.111137496875
2011,F_Construccion,10012.65132242737
2012,F_Construccion,11299.60434777638
2013,F_Construccion,12300.3469306289
2014,F_Construccion,13365.12742056307
2015,F_Construccion,13398.58575323387
2016,F_Construccion,14059.46636482728
2017,F_Construccion,14745.33623526462
2018,F_Construccion,14551.08955172678
2019,F_Construccion,14775.41205173854
2020,F_Construccion,14369.81909122489
2021,F_Construccion,14217.59317417243
2022,F_Construccion,14440.11008989813
2023,F_Construccion,14396.03917190357
2024,F_Construccion,14379.14286101465
1990,G-H_ComercioHotelesRest,10364.43102101935
1991,G-H_ComercioHotelesRest,10579.04436094462
1992,G-H_ComercioHotelesRest,11000.851641798
1993,G-H_ComercioHotelesRest,11374.26141869058
1994,G-H_ComercioHotelesRest,11880.56139836101
1995,G-H_ComercioHotelesRest,12480.60552899523
1996,G-H_ComercioHotelesRest,13178.39569888531
1997,G-H_ComercioHotelesRest,13867.94912671226
1998,G-H_ComercioHotelesRest,14587.96161457392
1999,G-H_ComercioHotelesRest,15000.02653342909
2000,G-H_ComercioHotelesRest,15063.97031439347
2001,G-H_ComercioHotelesRest,15173.07348609983
2002,G-H_ComercioHotelesRest,15748.52980790685
2003,G-H_ComercioHotelesRest,16109.10143958304
2004,G-H_ComercioHotelesRest,16837.54947148232
2005,G-H_ComercioHotelesRest,18149.61706981209
2006,G-H_ComercioHotelesRest,20911.16139084073
2007,G-H_ComercioHotelesRest,24452.16879982034
2008,G-H_ComercioHotelesRest,28111.28450629489
2009,G-H_ComercioHotelesRest,29208.15705376616
2010,G-H_ComercioHotelesRest,31774.1423286987
2011,G-H_ComercioHotelesRest,35606.06802899986
2012,G-H_ComercioHotelesRest,38780.63118383975
2013,G-H_ComercioHotelesRest,41879.84196485727
