anio,depto,departamento,pib_miles_millones_2015,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,pib_pesos_2015,pib_trabajador,pib_hora
2014,91,Amazonas,562.6006944249419,11100.542801846786,11085.413145969493,506862.1422248376,45.723342517831725,0.001362965410554251,507553.92066269205,26392803.874459986,2199400.3228716655,562600694424.9419,50.68226882845248,21.316442811495453
2015,91,Amazonas,593.3644029666723,8163.23435179346,8163.23435179346,367607.2205757099,45.03205527781359,0.0,367607.2205757099,19115575.469936915,1592964.622494743,593364402966.6722,72.68741498721157,31.040886208205293
2016,91,Amazonas,613.629086445144,10426.400988824904,10392.582802575304,498341.3718131682,47.95163832514071,0.003243514831805072,499963.0092490213,25998076.480949108,2166506.3734124256,613629086445.144,58.85339410049895,23.602864884823294
2017,91,Amazonas,629.7359631035614,9089.797186998727,9085.71053740469,427312.90210944804,47.03131366008815,0.0004495864440058339,427505.1026083241,22230265.335632853,1852522.1113027378,629735963103.5614,69.27942946893053,28.32786534914447
2018,91,Amazonas,648.3490343487633,4178.393863849777,4170.677626889461,187479.57029080225,44.95182487422953,0.0018466992848793495,187826.42922333043,9766974.319613183,813914.5266344319,648349034348.7633,155.1670463519695,66.38176912647405
2019,91,Amazonas,665.7610316638785,3091.321954039974,3091.321954039974,137766.85304615143,44.56567613933167,0.0,137766.85304615143,7163876.3583998745,596989.6965333229,665761031663.8785,215.36450798785663,92.93307119730682
2021,91,Amazonas,678.1255724683202,8639.646291122463,8613.268299819067,396489.2301255913,46.03237892100959,0.003053133243487105,397703.4718164443,20680580.534455106,1723381.7112045921,678125572468.3202,78.48996933648982,32.7904514739575
2022,91,Amazonas,715.9170168735611,9550.205890337626,9546.785207748413,412578.17715422314,43.21645121117465,0.0003581789365058041,412726.00691644876,21461752.359655336,1788479.3633046113,715917016873.5612,74.96351650364802,33.357808107942326
2023,91,Amazonas,716.844095706298,14514.539968596497,14508.390304604707,616659.1766373869,42.50362470891552,0.000423689900272084,616920.5596477799,32079869.101684555,2673322.4251403795,716844095706.2981,49.38799970631204,22.34560538367832
2024,91,Amazonas,723.4015869922182,14405.725199169787,14364.792142845188,638624.2437997942,44.45760422073911,0.0028414436454027303,640444.0294174184,33303089.529705755,2775257.460808813,723401586992.2181,50.2162561752815,21.72175606551329
2014,5,Antioquia,111128.94804581454,2310905.774353146,2308592.3108853507,107280822.70321946,46.47023304954048,0.0010011067926137818,107388329.88971952,5584193154.265415,465349429.5221179,111128948045814.55,48.0889135676339,19.900627534871372
2015,5,Antioquia,115446.2569833156,2323629.1324160295,2322354.299978315,108268782.57177019,46.62026916942912,0.000548638515471267,108328215.60316236,5633067211.364443,469422267.61370355,115446256983315.6,49.683598545383425,20.494386566240202
2016,5,Antioquia,119046.3841149867,2282716.292283985,2279894.4421691163,106854257.36325385,46.86807221723456,0.0012361808273796404,106986512.03822371,5563298625.987633,463608218.83230275,119046384114986.69,52.15119571248784,21.398524889332688
2017,5,Antioquia,120973.26658047568,2241280.3112188047,2239953.1196739688,103588615.55934516,46.24588552747156,0.0005921577672335365,103649992.70760067,5389799620.795235,449149968.3996029,120973266580475.69,53.9750721830464,22.444854185994163
2018,5,Antioquia,125172.9567513896,2236932.926586854,2236333.943726874,102930577.9082719,46.02647927291977,0.0002677697005845081,102958146.9804616,5353823642.984003,446151970.24866694,125172956751389.61,55.957402773976064,23.380104594110858
2019,5,Antioquia,129671.98068228063,2393451.1005892884,2392748.195739815,109645550.10359995,45.824107316774544,0.00029367838319338535,109677760.0908557,5703243524.724497,475270293.7270414,129671980682280.62,54.17782742682909,22.736532311855754
2021,5,Antioquia,137020.32961372682,2211451.4605565486,2210748.3270843267,100614504.86358164,45.51151464458116,0.000317951121588278,100646505.53289975,5233618287.710787,436134857.30923223,137020329613726.81,61.95945606657963,26.180803046998726
2022,5,Antioquia,146040.20836687976,2937648.98824056,2935540.4544092813,134199986.55771065,45.71559773810568,0.0007177623465973726,134296379.44215858,6983411730.992247,581950977.5826873,146040208366879.75,49.71329418575203,20.912444231056305
2023,5,Antioquia,146272.28860791906,3075272.3299899073,3073990.615260866,140164661.79696646,45.59697127932571,0.0004167808868639211,140223104.10665485,7291601413.546052,607633451.1288377,146272288607919.06,47.56401154508457,20.06037910083512
2024,5,Antioquia,149162.56286814398,3130339.2561002993,3130021.9262336837,141036645.1965399,45.05931540430055,0.00010137235636586972,141050943.86308694,7334649080.880521,611220756.7400434,149162562868144.0,47.6506061052204,20.336700668743802
2014,81,Arauca,4309.532798854145,24467.03835557965,24439.957410959716,1141426.3295510716,46.70328635839672,0.0011068337829192032,1142691.0986625124,59419937.13045064,4951661.427537554,4309532798854.145,176.13626693282907,72.52671421366517
2015,81,Arauca,4534.093020485556,23431.664296499326,23422.48846789467,1060392.6699517567,45.272417207302404,0.0003915995248373605,1060808.0818925695,55162020.25841361,4596835.021534468,4534093020485.556,193.50281580992717,82.19592029525045
2016,81,Arauca,4271.820897411131,20669.729024138913,20669.729024138913,931232.9046074997,45.052980787506684,0.0,931232.9046074997,48424111.039589986,4035342.586632499,4271820897411.1313,206.67038703905274,88.21681607987865
2017,81,Arauca,4167.627335849652,15372.746315841034,15363.27756911083,646535.1351015705,42.08315134535381,0.0006159437315663707,646933.6098032685,33640547.70976996,2803378.975814163,4167627335849.652,271.104931430181,123.8870238322333
2018,81,Arauca,4293.332305215559,11511.401120278597,11511.401120278597,489521.8568734114,42.52495866998022,0.0,489521.85687341134,25455136.55741739,2121261.3797847824,4293332305215.559,372.96348727283794,168.66270960799548
2019,81,Arauca,4596.268606922222,13054.25284692057,13027.54714033875,574848.7178073864,44.12562945386808,0.002045747611524207,576027.1239203195,29953410.44385661,2496117.536988051,4596268606922.222,352.08974889792006,153.4472548806177
2021,81,Arauca,4759.548256136598,18366.476671275963,18343.41225276019,845079.5456957852,46.06992058244907,0.0012557889533513222,846142.1216250872,43999390.32450454,3666615.8603753783,4759548256136.598,259.1432391374355,108.17305014987599
2022,81,Arauca,4819.225743360816,24588.399102846783,24546.43444919586,1182861.6251424153,48.18873501121323,0.0017066850702802672,1184883.848717037,61613960.13328592,5134496.677773827,4819225743360.815,195.9959134876275,78.21645829834121
2023,81,Arauca,4784.061432459846,28514.42769066901,28514.42769066901,1389525.574018186,48.730614168100274,0.0,1389525.574018186,72255329.84894568,6021277.48741214,4784061432459.847,167.77687016405983,66.2104988304839
2024,81,Arauca,4959.993820668658,28966.777300403457,28966.777300403457,1428618.4888886255,49.31920710657472,0.0,1428618.4888886255,74288161.42220853,6190680.118517377,4959993820668.658,171.23043303127733,66.76694813429401
2014,8,Atlántico,33772.29157519511,757054.86887733,756959.0109974301,35583657.48684918,47.00869792138585,0.00012661946160130721,35588163.640968785,1850584509.3303769,154215375.77753142,33772291575195.11,44.61009758153663,18.24952678730431
