indicador,depto,departamento,nivel_inicial_log,crecimiento_anualizado,nivel_inicial,nivel_final,ocupados_fin
Remuneraci?n por trabajador,5,Antioquia,14.298609103932227,0.018553588557021272,1621089.6489894823,2181376.201858106,3311770.0767034027
Remuneraci?n por trabajador,8,Atlántico,14.033498730436355,0.016313132905827366,1243572.3591452816,1614456.3893099767,1256860.111565948
Remuneraci?n por trabajador,11,Bogotá D.C.,14.595157293968402,0.017673292931286055,2180701.765991688,2893362.79600895,4160820.066882373
Remuneraci?n por trabajador,13,Bolívar,13.944260897995365,0.011316384158136072,1137406.1239379232,1363169.477568969,885761.33413306
Remuneraci?n por trabajador,15,Boyacá,13.944436611928092,0.019825474797722564,1137605.999601023,1562260.249800156,522604.17780840414
Remuneraci?n por trabajador,17,Caldas,14.09133584160063,0.01896618775651704,1317617.6345536788,1784760.5984841343,466839.7189306313
Remuneraci?n por trabajador,18,Caquetá,14.04418364659968,0.013700703711249651,1256931.066787511,1564997.690098144,153617.57973122044
Remuneraci?n por trabajador,19,Cauca,13.726344930465167,0.014438900433592639,914694.0625375746,1152411.587682422,627653.8564868355
Remuneraci?n por trabajador,20,Cesar,14.060659771210652,0.004763733278624005,1277811.965452238,1379014.268439537,515871.15542724985
Remuneraci?n por trabajador,23,Córdoba,13.767522483227063,0.008007863345932065,953145.1535161632,1083436.288609747,791370.3113817273
Remuneraci?n por trabajador,25,Cundinamarca,14.050944842530745,0.02814362908013812,1265458.2183892643,1985225.1826550476,1706608.0129832893
Remuneraci?n por trabajador,27,Chocó,13.930253772520237,0.005144805179518874,1121585.393787425,1217817.226190146,137366.38913717508
Remuneraci?n por trabajador,41,Huila,13.940143725205942,0.01344195184147523,1132732.853326648,1404532.3448039342,467605.9717708409
Remuneraci?n por trabajador,44,La Guajira,14.041126050986229,-0.01314313135300893,1253093.7493433368,1015443.427396074,348363.9258438963
Remuneraci?n por trabajador,47,Magdalena,13.920283225248587,0.006191301207114197,1110458.1381949882,1226093.97537865,594008.2057770757
Remuneraci?n por trabajador,50,Meta,14.17405513213952,0.014178281582273189,1431244.827264076,1795703.881276685,524442.8747610816
Remuneraci?n por trabajador,52,Nariño,13.865133108668404,0.002982007149200605,1050874.369717738,1102229.1895350565,849082.5809281862
