anio,depto,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,departamento,ocupados_remuneracion_valida,horas_mensuales_remuneracion_valida,rem_total_mensual,rem_por_trabajador,rem_por_hora,share_ocupados_remuneracion_valida
2010,5,2216839.4908533823,2215257.378703288,104170433.12936671,47.02407680968584,0.0007136791619881677,104244830.4926343,5420731185.616983,451727598.80141526,Antioquia,2215257.378703288,451405210.2272557,3734916571395.44,1685996.673479852,8273.97754118773,0.9992863208380118
2011,5,2245733.208314709,2243692.28214282,105190727.22930008,46.88286716788032,0.000908801706423823,105286411.6999162,5474893408.395642,456241117.3663035,Antioquia,2243692.28214282,455826484.6603004,3773270351865.5625,1681723.640044762,8277.865544994715,0.9990911982935762
2012,5,2318398.850361033,2315427.3702845154,108796797.46772818,46.9877824128681,0.0012816949404779177,108936420.72700776,5664693877.804403,472057823.15036696,Antioquia,2315427.3702845154,471452789.0268221,3783237802132.351,1633926.3544541558,8024.637652354865,0.9987183050595221
2013,5,2372681.6741701514,2367486.4438017597,108954645.10928816,46.02123293864631,0.0021896027709695787,109193736.01624183,5678074272.844575,473172856.0703812,Antioquia,2367486.4438017597,472136795.47358197,4050127292624.3613,1710728.820951803,8578.291993874014,0.9978103972290304
2014,5,2310905.774353146,2308592.3108853507,107280822.70321946,46.47023304954048,0.0010011067926137818,107388329.88971952,5584193154.265415,465349429.5221179,Antioquia,2308592.3108853507,464883565.0472843,4307947348669.9585,1866049.4225668847,9266.72326700082,0.9989988932073862
2015,5,2323629.1324160295,2322354.299978315,108268782.57177019,46.62026916942912,0.000548638515471267,108328215.60316236,5633067211.364443,469422267.61370355,Antioquia,2322354.299978315,469164724.47767085,4059576646068.9263,1748043.632320371,8652.774674371614,0.9994513614845287
2016,5,2282716.292283985,2279894.4421691163,106854257.36325385,46.86807221723456,0.0012361808273796404,106986512.03822371,5563298625.987633,463608218.83230275,Antioquia,2279894.4421691163,463035115.24076664,4045191341582.5625,1774288.8735383395,8736.251762415826,0.9987638191726204
2017,5,2241280.3112188047,2239953.1196739688,103588615.55934516,46.24588552747156,0.0005921577672335365,103649992.70760067,5389799620.795235,449149968.3996029,Antioquia,2239953.1196739688,448884000.7571623,4005369507757.7764,1788148.811052246,8922.950029409949,0.9994078422327665
2018,5,2236932.926586854,2236333.943726874,102930577.9082719,46.02647927291977,0.0002677697005845081,102958146.9804616,5353823642.984003,446151970.24866694,Antioquia,2236333.943726874,446032504.2691782,4066678492451.975,1818457.6162515392,9117.448736421587,0.9997322302994155
2019,5,2393451.1005892884,2392748.195739815,109645550.10359995,45.824107316774544,0.00029367838319338535,109677760.0908557,5703243524.724497,475270293.7270414,Antioquia,2392748.195739815,475130717.11559975,4447101501344.399,1858574.8008345685,9359.743205704832,0.9997063216168066
