anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2010,37180.0,2802201.0516749504,125333965.97662139,6517366230.784312,"001,002,004-008,013|003|009-012",Cultivos y apoyo agropecuario; Café; Ganadería,Cultivos y apoyo agropecuario; Café; Ganadería,0,A,"001,002,004-008,013; 003; 009-012",37180000000000.0,13.268141476778235,5704.758438214341
2011,37964.0,2786000.6031369115,124505164.76854773,6474268567.964482,"001,002,004-008,013|003|009-012",Cultivos y apoyo agropecuario; Café; Ganadería,Cultivos y apoyo agropecuario; Café; Ganadería,0,A,"001,002,004-008,013; 003; 009-012",37964000000000.0,13.626702003314085,5863.8284157458
2012,38939.0,2772059.1223316262,121597061.30192389,6323047187.700042,"001,002,004-008,013|003|009-012",Cultivos y apoyo agropecuario; Café; Ganadería,Cultivos y apoyo agropecuario; Café; Ganadería,0,A,"001,002,004-008,013; 003; 009-012",38939000000000.0,14.046958698069808,6158.2649700521615
2013,41824.0,2713852.8931590193,119568015.17792755,6217536789.252233,"001,002,004-008,013|003|009-012",Cultivos y apoyo agropecuario; Café; Ganadería,Cultivos y apoyo agropecuario; Café; Ganadería,0,A,"001,002,004-008,013; 003; 009-012",41824000000000.0,15.411299597494176,6726.779658513298
2014,42933.0,2689289.267929704,118678967.88035323,6171306329.778368,"001,002,004-008,013|003|009-012",Cultivos y apoyo agropecuario; Café; Ganadería,Cultivos y apoyo agropecuario; Café; Ganadería,0,A,"001,002,004-008,013; 003; 009-012",42933000000000.0,15.964441055852323,6956.873910607167
2015,44903.0,2681266.678426116,117141374.70797652,6091351484.814779,"001,002,004-008,013|003|009-012",Cultivos y apoyo agropecuario; Café; Ganadería,Cultivos y apoyo agropecuario; Café; Ganadería,0,A,"001,002,004-008,013; 003; 009-012",44903000000000.0,16.74693545453589,7371.5989156001515
2016,46245.99999999999,2693558.081784249,119218627.40916239,6199368625.276444,"001,002,004-008,013|003|009-012",Cultivos y apoyo agropecuario; Café; Ganadería,Cultivos y apoyo agropecuario; Café; Ganadería,0,A,"001,002,004-008,013; 003; 009-012",46245999999999.99,17.169111857193005,7459.791923236017
2017,49038.0,2836699.8312213174,123344139.41856353,6413895249.765304,"001,002,004-008,013|003|009-012",Cultivos y apoyo agropecuario; Café; Ganadería,Cultivos y apoyo agropecuario; Café; Ganadería,0,A,"001,002,004-008,013; 003; 009-012",49038000000000.0,17.286989430562027,7645.587913490541
2018,49726.0,2878665.2843013937,123841974.76424079,6439782687.7405205,"001,002,004-008,013|003|009-012",Cultivos y apoyo agropecuario; Café; Ganadería,Cultivos y apoyo agropecuario; Café; Ganadería,0,A,"001,002,004-008,013; 003; 009-012",49726000000000.0,17.273977725433163,7721.689133185176
2019,51054.0,2796154.758160365,119535429.30083613,6215842323.643478,"001,002,004-008,013|003|009-012",Cultivos y apoyo agropecuario; Café; Ganadería,Cultivos y apoyo agropecuario; Café; Ganadería,0,A,"001,002,004-008,013; 003; 009-012",51054000000000.0,18.258646039173186,8213.52880941069
