depto,departamento,pib_trabajador_2010,pib_trabajador_2024,crec_pib_trabajador,ranking_pib_trabajador,rem_por_trabajador_2010,rem_por_trabajador_2024,crec_rem_trabajador,ranking_rem_trabajador,brecha_ranking_rem_menos_pib,ranking_crec_pib_trabajador,ranking_crec_rem_trabajador,brecha_ranking_crec_rem_menos_pib,ocupados_2024,share_ocupados_remuneracion_valida_2024,rem_por_trabajador_predicha_tendencia,residuo_rem_por_trabajador_tendencia,residuo_pct_tendencia
11,Bogotá D.C.,51.20152314062709,67.35302234200888,0.01977720638595981,1,2264166.471333725,2947148.4144355017,0.019009230502884167,1,0,8,4,-4,3964950.027902832,0.999400757749884,2288546.596035315,658601.8184001865,0.2877816949592157
50,Meta,62.70109434857646,63.109979706509776,0.0004643944282050061,2,1503123.075775404,1833148.973438711,0.01427885734059986,4,2,20,10,-10,508097.8658874078,0.9993660128828302,2180549.192776597,-347400.2193378862,-0.1593177629235344
68,Santander,48.84454732503078,61.9732200167162,0.017149652833465145,3,1649407.5459117335,1798426.6096841346,0.006197411878447134,6,3,9,20,11,1009902.5625092613,0.9998787737036215,2151615.4522575242,-353188.84257338964,-0.164150541958051
76,Valle del Cauca,40.4734787645371,54.5014374050746,0.021483237875693728,4,1462864.2568520512,1794627.4620089084,0.014707182106575845,7,3,5,9,4,1825807.5991241753,0.9994812216949386,1961437.5094247584,-166810.04741585,-0.08504479322656132
5,Antioquia,39.91831407442862,47.6506061052204,0.012727465738879618,5,1684793.4127868083,2119954.4145927005,0.01654622828325425,2,-3,13,6,-7,3130339.2561002993,0.9998986276436341,1787064.5289701864,332889.8856225142,0.18627748479476858
15,Boyacá,40.43671457550599,47.52142998216927,0.011598360958342546,6,1180792.5428580863,1487851.043294151,0.016647549101915793,13,7,15,5,-10,529805.9535491505,0.9999815057459291,1783776.6322764712,-295925.58898232016,-0.16589834378795362
13,Bolívar,35.6728827444866,45.088287292392764,0.01687157956296681,7,1125220.0673468565,1330554.9499651527,0.012044636455887936,16,9,10,11,1,796377.3261698836,0.9999426891476358,1721846.287750747,-391291.3377855944,-0.22725102732412858
25,Cundinamarca,42.267487278137374,40.405698914607,-0.0032124953577541415,8,1285259.5572494832,1788958.8788621984,0.02390065912197148,8,0,23,2,-21,1497470.1840930174,0.9998608309169847,1602661.2055412608,186297.67332093767,0.11624270474433807
73,Tolima,30.16678935455865,40.044467638129944,0.020438119690415535,9,1205768.8219576268,1495239.630319191,0.015487934719569552,11,2,7,7,0,507517.6378363845,0.9995533986650087,1593466.8506439133,-98227.22032472235,-0.06164371746110008
66,Risaralda,25.084733529940625,38.655499859920276,0.031369809295297424,10,1228629.3474370495,1816850.388764765,0.02833730625679931,5,-5,3,1,-2,422915.4710528113,0.9997248594397247,1558113.70288111,258736.6858836552,0.1660576409829558
8,Atlántico,35.000771250185764,37.32461673411125,0.004602199028061804,11,1358816.5451563266,1582370.1463129995,0.010938657382311368,10,-1,18,13,-5,1209186.9753406516,0.999842954944027,1524238.9733590216,58131.17295397795,0.0381378340076636
17,Caldas,27.212892654375505,36.624378312858774,0.021442603767939383,12,1348012.650076939,1852688.9689677493,0.02297470781971045,3,-9,6,3,-3,429957.62929398025,0.9998676860187596,1506415.9304028775,346273.03856487176,0.22986549171201617
63,Quindío,20.089859460599072,33.78902433687455,0.037835405251784415,13,1383820.688170741,1705686.0244509606,0.015049194403105481,9,-4,1,8,7,235888.77959825317,0.9999999999999999,1434248.174141442,271437.85030951863,0.1892544506615841
20,Cesar,32.69818842409751,32.55771875874887,-0.0003074670441770566,14,1233359.7221524196,1260816.0306821219,0.001573896393900931,17,3,21,23,2,466649.8886965541,0.999957785479818,1402907.974082409,-142091.94340028707,-0.10128386610192606
41,Huila,32.19337745760303,31.620497535713756,-0.0012816919217790712,15,1191824.0580639506,1359693.5649072975,0.009456893553813073,15,0,22,17,-5,485561.0025486689,0.9998435067635059,1379053.0503727286,-19359.48546543112,-0.014038245635437058
27,Chocó,19.02432605960263,28.597452300473012,0.02954218752943194,16,996309.1545643326,1159388.7106456188,0.010886731415065354,18,2,4,14,10,131819.79348657696,1.0000000000000002,1302108.0221497826,-142719.31150416378,-0.10960635298792948
19,Cauca,21.800905268715358,26.649322562522446,0.014447096038018747,17,897490.4169372055,1060471.2353647884,0.011990329307037362,20,3,12,12,0,653618.4184819818,0.9994580026161259,1252522.6253051902,-192051.38994040177,-0.1533316732650689
18,Caquetá,14.944594286988734,24.871752097890372,0.037054521547723374,18,1286979.9095292694,1473931.851863072,0.00973531434511088,14,-4,2,16,14,156651.94694931235,0.998648173387962,1207278.4430564593,266653.4088066127,0.22087150676817185
44,La Guajira,27.75669061412402,24.816292562639465,-0.007966421290475978,19,1157475.5672993734,892333.0469178152,-0.01841106716197838,24,5,24,24,0,331294.377495861,1.0,1205866.8414517706,-313533.7945339554,-0.2600069790097926
54,Norte de Santander,20.501672907279513,24.336415701614847,0.012322976170869415,20,1285869.1477212962,1490170.0387327948,0.010588188312398383,12,-8,14,15,1,642195.3250474753,1.0,1193652.6217687041,296517.41696409066,0.2484118172711954
47,Magdalena,23.344743942567362,23.861711130466922,0.0015657437547684783,21,1114971.733034842,1153212.7752503268,0.002411668530855726,19,-2,19,22,3,550091.0381352282,0.999736665637351,1181570.0514522763,-28357.276201949455,-0.023999657207878045
23,Córdoba,19.40638001951727,22.005281350538073,0.009017601996072822,22,936153.8779300303,1044763.9808297885,0.007871275508367415,22,0,17,18,1,774002.029012392,0.9999350891761163,1134318.67719384,-89554.69636405155,-0.0789502087593219
70,Sucre,17.453833563682842,21.995552674785333,0.01665728007911027,23,961971.787427687,1009875.7547591535,0.003477279180915671,23,0,11,21,10,369316.4532408935,1.0,1134071.0549546357,-124195.30019548221,-0.10951280314658078
52,Nariño,15.53091652927222,17.779848211548238,0.009706306498289186,24,966869.6221885752,1055936.988490818,0.006314145934442239,21,-3,16,19,3,824688.2288883963,0.9996446898449456,1026769.4852917044,29167.50319911365,0.02840706080277326
