anio,depto,departamento,ocupados,pib_por_trabajador_millones_2015,ocupados_remuneracion_valida,rem_total_mensual,rem_por_trabajador,share_ocupados_remuneracion_valida
2010,5,Antioquia,2216839.4908533823,39.91831407442862,2215257.378703288,3734916571395.4404,1684793.4127868083,0.9992863208380118
2011,5,Antioquia,2245733.208314709,42.63786688019907,2243692.28214282,3773270351865.563,1680195.2867309565,0.9990911982935762
2012,5,Antioquia,2318398.850361033,42.97311125037608,2315427.3702845154,3783237802132.351,1631832.1593125386,0.9987183050595221
2013,5,Antioquia,2372681.6741701514,43.83724321514037,2367486.4438017597,4050127292624.362,1706983.0043850697,0.9978103972290304
2014,5,Antioquia,2310905.774353146,48.0889135676339,2308592.310885351,4307947348669.9585,1864181.3078146,0.9989988932073864
2015,5,Antioquia,2323629.1324160295,49.683598545383425,2322354.299978315,4059576646068.926,1747084.5882569556,0.9994513614845287
2016,5,Antioquia,2282716.292283985,52.15119571248784,2279894.4421691163,4045191341582.563,1772095.5316506387,0.9987638191726204
2017,5,Antioquia,2241280.3112188047,53.9750721830464,2239953.1196739683,4005369507757.7764,1787089.944844812,0.9994078422327662
2018,5,Antioquia,2236932.926586854,55.957402773976064,2236333.943726874,4066678492451.9756,1817970.68840011,0.9997322302994155
2019,5,Antioquia,2393451.1005892884,54.17782742682909,2392748.195739815,4447101501344.4,1858028.9775920159,0.9997063216168066
2021,5,Antioquia,2211451.4605565486,61.95945606657963,2210748.3270843267,4048635012948.707,1830759.1575759933,0.9996820488784117
2022,5,Antioquia,2937648.98824056,49.71329418575203,2935540.4544092813,5747640471797.945,1956544.3301108507,0.9992822376534026
2023,5,Antioquia,3075272.3299899073,47.56401154508457,3073990.615260866,6226670266008.75,2024754.102355932,0.9995832191131361
2024,5,Antioquia,3130339.2561002993,47.6506061052204,3130021.9262336837,6636176525142.659,2119954.4145927005,0.9998986276436341
2010,8,Atlántico,760919.0698676498,35.000771250185764,760494.4607617614,1033949421661.1255,1358816.5451563266,0.9994419786246621
2011,8,Atlántico,840843.0737257728,33.449974981329795,840536.8432707901,1017089678046.4048,1209607.0120904772,0.9996358054617424
2012,8,Atlántico,841100.2026149115,35.74607040819561,840919.0219038634,1072962483933.155,1275665.4683917598,0.9997845908127417
2013,8,Atlántico,815295.2415627048,38.83725811671013,815198.702988944,1048785364572.9586,1286387.2019695775,0.9998815906571763
2014,8,Atlántico,757054.86887733,44.61009758153663,756959.01099743,947453153909.8918,1251498.6599517046,0.9998733805383985
2015,8,Atlántico,845442.316008528,42.24569200476724,844713.0913764063,1103865699049.8555,1305666.4874090839,0.9991374637650449
2016,8,Atlántico,934004.403009619,38.915641027093926,933421.384088099,1261789675388.6965,1350946.1746891807,0.9993757856819075
2017,8,Atlántico,937428.5944082356,39.2342465399364,936913.7556343799,1314571580996.321,1402316.495184534,0.99945079681063
2018,8,Atlántico,966033.1301276636,38.93204570750322,965775.8092112031,1374072593290.4924,1422386.614327508,0.9997336313751202
2019,8,Atlántico,1069738.2888898475,36.16771887914493,1068225.3857145675,1612249049049.0034,1507143.4441429244,0.9985857258817481
2021,8,Atlántico,990511.3807259536,40.99635595854406,989412.2459330023,1390599684277.8098,1403920.9557174682,0.9988903360280972
2022,8,Atlántico,1166496.5446337063,38.03911193137051,1164606.2179608345,1614720748266.9854,1384248.205187806,0.9983794836927996
2023,8,Atlántico,1233057.3922895016,36.22984189900711,1231657.257106489,1923815706187.438,1560199.6453833818,0.9988645012050795
2024,8,Atlántico,1209186.9753406516,37.32461673411125,1208997.0785044273,1913381371089.5603,1582370.1463129995,0.999842954944027
2010,11,Bogotá D.C.,3269608.6969012227,51.20152314062709,3263993.4691050835,7402938385904.9,2264166.471333725,0.9982825994433336
2011,11,Bogotá D.C.,3418873.258181581,51.73333543900884,3411285.5908781956,7742303955806.311,2264577.6462401715,0.9977806526506277
2012,11,Bogotá D.C.,3509967.2281839694,52.166802501889606,3505226.1594968727,7708333499963.666,2196126.914823618,0.9986492555688191
2013,11,Bogotá D.C.,3548110.034808426,53.59477771541128,3542637.1292612264,8455979792190.185,2383234.93613037,0.998457515270522
2014,11,Bogotá D.C.,3620902.1725722044,54.957462437244686,3615591.7681449205,8563047737055.959,2364893.424053202,0.9985334029547913
2015,11,Bogotá D.C.,3617817.5869811964,57.072642263486465,3612144.9615248144,7946766823824.311,2196563.7107909867,0.9984320311016246
2016,11,Bogotá D.C.,3535659.2854017583,59.588029254173776,3533192.6754986467,7965434059244.992,2252885.0820363695,0.999302362104489
2017,11,Bogotá D.C.,3329229.5413709898,64.42442234342778,3327453.192911413,7578517819885.187,2276357.855687032,0.9994664385746003
2018,11,Bogotá D.C.,3406080.6571038486,65.07537855634716,3403189.430188113,8061858116521.704,2366901.705544639,0.9991511572370708
2019,11,Bogotá D.C.,3568694.8330839546,64.25703864022734,3567192.9723888845,8538974498901.436,2392744.3780678553,0.9995791568723817
2021,11,Bogotá D.C.,3134441.084553535,75.81294558588806,3129469.8939425983,9209198560606.93,2938067.20630025,0.9984140105119746
2022,11,Bogotá D.C.,3588029.8763249717,72.57226065624941,3585460.633995056,10245669590305.646,2855514.0128319506,0.9992839406530953
2023,11,Bogotá D.C.,3808991.2263876526,68.77749711270272,3803993.576608233,10983111923157.979,2883469.9977962603,0.9986879335019737
2024,11,Bogotá D.C.,3964950.027902832,67.35302234200888,3962574.0623265137,11685296188049.828,2947148.4144355017,0.999400757749884
2010,13,Bolívar,646900.0423447139,35.6728827444866,646623.322603664,727904909213.8033,1125220.0673468565,0.9995722372500596
2011,13,Bolívar,697368.9541956572,36.076954956521156,697268.2972725306,777371570303.6627,1114720.6448275007,0.9998556618809585
2012,13,Bolívar,677643.5845057556,38.05016037043731,677052.8210990198,782431827410.1864,1154636.2207219284,0.9991282092530005
2013,13,Bolívar,659618.8900563533,42.97331938399705,659618.8900563533,776645325469.8567,1177415.22745582,1.0
2014,13,Bolívar,655328.3124304536,42.41057585528389,654753.235016821,760513067953.7458,1160506.9604473328,0.9991224590747502
2015,13,Bolívar,714401.2321527441,39.340933390604356,714371.5550481892,811494145504.854,1135908.0989537693,0.9999584587718789
2016,13,Bolívar,683619.3151373923,42.83767391829562,683379.5176962772,759486320822.8777,1110978.440786504,0.9996492237188078
2017,13,Bolívar,721236.337314258,41.97124961347451,721236.337314258,790591466284.0723,1096161.445814113,1.0
2018,13,Bolívar,743474.7918268009,41.432592758202915,743243.0675328398,841578589289.0823,1131953.0918072278,0.9996883225947827
2019,13,Bolívar,930911.235658458,34.28872138462311,930911.2356584581,1070833322707.3512,1150306.5831512096,1.0000000000000002
2021,13,Bolívar,749763.8753457139,43.56113363845037,748941.0089795777,830629828824.0332,1107855.2276755562,0.9989024993158588
2022,13,Bolívar,818789.4617195129,43.26436204591464,818696.8532651266,970878994914.376,1185749.2558287997,0.9998868958887284
2023,13,Bolívar,903077.9337434726,39.47305230551157,903036.767290132,1060601057268.7518,1174429.157926945,0.9999544153922908
2024,13,Bolívar,796377.3261698836,45.088287292392764,796331.6851065173,1059623793375.3514,1330554.9499651527,0.9999426891476358
2010,15,Boyacá,428967.0211261067,40.43671457550599,428544.01827180025,506521059677.7539,1180792.5428580863,0.9990139035555787
2011,15,Boyacá,460675.91407925356,41.17639799416968,460665.3500989367,623675583149.2676,1353827.2006162927,0.9999770685204197
2012,15,Boyacá,481082.5435644548,40.650854684175954,480224.01610283856,677656350960.0303,1408607.2338836354,0.9982154258700487
2013,15,Boyacá,491034.68317925814,40.989719684334524,490267.80157158634,634921347069.5437,1293027.4964665947,0.9984382333184562
2014,15,Boyacá,511818.69847736997,41.002913959800004,511318.12511744426,655501146138.0485,1280729.1880662532,0.9990219713320071
2015,15,Boyacá,536271.3137202064,41.33110014607627,535434.7584560397,676607095601.7935,1261688.0267341798,0.9984400521848478
2016,15,Boyacá,525760.6487047566,42.49318490878352,525490.9889960688,735372281520.6768,1398682.6198048696,0.9994871055691366
2017,15,Boyacá,543437.4982666218,41.54007838403232,543414.7236774118,772825315357.589,1422105.2426868503,0.9999580916125907
2018,15,Boyacá,566618.7979658268,41.009419134337854,566258.5207800118,756510223501.8888,1335130.8255528694,0.9993641630191084
2019,15,Boyacá,550387.2513943772,43.11942861666965,550137.6057348934,745943165844.2429,1355306.0394375687,0.999546418164935
2021,15,Boyacá,405784.0604399958,57.34663623825039,405532.9642407303,531343223905.6342,1309423.5967018846,0.9993812073372393
2022,15,Boyacá,510273.9424686432,48.670673923652245,509786.2244478861,693309096786.6584,1358699.786692053,0.9990442035538841
2023,15,Boyacá,518280.7512190068,48.08152178018325,518280.7512190068,726068101554.4678,1400916.5878662113,1.0
2024,15,Boyacá,529805.9535491505,47.52142998216927,529796.1551832373,788272340731.5562,1487851.043294151,0.9999815057459291
2010,17,Caldas,392289.33006841835,27.212892654375505,392000.63244040776,528810979422.43567,1348012.650076939,0.9992640696397217
2011,17,Caldas,392140.8848726636,27.27590509375422,391956.7351199289,555065114496.8551,1415473.7134259704,0.999530398997303
2012,17,Caldas,406426.09056768485,26.51672301920066,406134.94556558423,564551801325.0352,1389063.8776080655,0.9992836458857896
2013,17,Caldas,401159.16715693,28.573153347391628,400872.81966641464,581328636577.1538,1449122.1544234164,0.9992861998080593
2014,17,Caldas,417250.13007695647,29.014578054327714,417171.1640890213,608398147268.8091,1458113.7390097345,0.9998107466427377
2015,17,Caldas,431007.75488342496,29.033124353273173,430832.1023065257,607052053552.8408,1408448.10023669,0.9995924607506267
2016,17,Caldas,434533.5704444661,29.505358517449643,434472.5175680921,628727494029.3502,1446902.0043405422,0.9998594979064298
2017,17,Caldas,440344.9758737052,29.620746035204903,440139.80986922537,646607818670.803,1468411.9363184373,0.9995340789251138
2018,17,Caldas,450151.9054625769,29.75609620791776,449841.9428183205,674985542508.3862,1499461.7024108116,0.9993114265640219
2019,17,Caldas,445288.5637342009,30.986764413719488,445288.5637342009,641849065949.1732,1441422.7497032734,1.0
2021,17,Caldas,371043.28252546693,38.95553139800384,370818.048525124,645982337483.9093,1740989.172710792,0.9993929710873354
2022,17,Caldas,415216.41125329334,36.909620655806336,414981.07926527655,681537288177.2893,1641402.5787664086,0.9994332305235565
2023,17,Caldas,430648.076310808,35.76271848162139,430636.7152490007,735663266120.011,1708270.1783371416,0.9999736186867368
2024,17,Caldas,429957.62929398025,36.624378312858774,429900.7398882837,796577756916.482,1852688.9689677493,0.9998676860187596
2010,18,Caquetá,172190.04403764955,14.944594286988734,172141.48263309395,221605127297.41516,1286979.9095292694,0.9997179778608746
2011,18,Caquetá,178113.07661708834,14.954278008767789,177991.6162788748,242630541231.937,1362227.557011717,0.9993180717523921
2012,18,Caquetá,180928.50610079736,16.482863879663913,180909.75283894222,249916497328.57935,1381299.7338813376,0.9998963498773118
2013,18,Caquetá,177713.73870010916,17.756950185221456,177571.179369197,239913972182.99463,1350002.3911367257,0.9991978148006174
2014,18,Caquetá,188742.1580393684,17.60840278026562,188667.38600522344,254377175545.8993,1347749.6399762502,0.9996038403135702
2015,18,Caquetá,188419.35728416714,17.778786243455087,188325.23954339506,237311370103.38226,1259485.0843561576,0.9995004879428065
2016,18,Caquetá,202724.91575901207,16.90374116996873,202610.82700985827,278439310414.0708,1373483.4190044194,0.9994372238423351
2017,18,Caquetá,206916.49401315025,16.692227045112446,206885.4748160598,272520346913.70612,1317054.7288336835,0.9998500883303751
2018,18,Caquetá,213114.93259362754,16.540915428745535,213075.8366134723,271200493149.70297,1272555.094329473,0.9998165497852288
2019,18,Caquetá,207086.71687910456,17.36406074111795,207079.58887015155,268136813197.37238,1294804.5014104326,0.9999655795936098
2021,18,Caquetá,142593.7691457844,25.686156783128343,142428.5813856376,196407634109.62567,1377392.8221844202,0.9988415499419339
2022,18,Caquetá,150180.76345014572,25.067274465901612,149719.92604557675,205783001204.1964,1370235.4181499984,0.996931448515895
2023,18,Caquetá,155221.94692061108,24.58153070162967,154839.46535617486,213646422413.36337,1376393.1367426652,0.9975359053792061
2024,18,Caquetá,156651.94694931235,24.871752097890372,156440.1806785987,230894294264.95566,1473931.851863072,0.998648173387962
2010,19,Cauca,482915.1096216211,21.800905268715358,482631.87232528056,433411683079.585,897490.4169372055,0.9994134842942428
