anio,depto,departamento,pib_miles_millones_2015,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2010,5,Antioquia,88492.49504848177,2216839.4908533823,2215257.378703288,104170433.12936671,47.02407680968584,0.0007136791619881677,104244830.4926343,5420731185.616983,88492495048481.77,39.91831407442862,16324.826304481214,47.02407680968584
2011,5,Antioquia,95753.27358456491,2245733.208314709,2243692.28214282,105190727.22930008,46.88286716788032,0.000908801706423823,105286411.6999162,5474893408.395642,95753273584564.92,42.63786688019907,17489.522889656473,46.88286716788032
2012,5,Antioquia,99628.81171930865,2318398.850361033,2315427.3702845154,108796797.46772818,46.9877824128681,0.0012816949404779177,108936420.72700776,5664693877.804403,99628811719308.66,42.97311125037608,17587.67796962121,46.9877824128681
2013,5,Antioquia,104011.82362270335,2372681.6741701514,2367486.4438017597,108954645.10928816,46.02123293864631,0.0021896027709695787,109193736.01624183,5678074272.844575,104011823622703.34,43.83724321514037,18318.151300017424,46.0212329386463
2014,5,Antioquia,111128.94804581454,2310905.774353146,2308592.3108853507,107280822.70321946,46.47023304954048,0.0010011067926137818,107388329.88971952,5584193154.265415,111128948045814.55,48.0889135676339,19900.62753487137,46.47023304954049
2015,5,Antioquia,115446.2569833156,2323629.1324160295,2322354.299978315,108268782.57177019,46.62026916942912,0.000548638515471267,108328215.60316236,5633067211.364443,115446256983315.6,49.683598545383425,20494.386566240202,46.62026916942913
2016,5,Antioquia,119046.3841149867,2282716.292283985,2279894.4421691163,106854257.36325385,46.86807221723456,0.0012361808273796404,106986512.03822371,5563298625.987633,119046384114986.69,52.15119571248784,21398.524889332686,46.86807221723456
2017,5,Antioquia,120973.26658047568,2241280.3112188047,2239953.1196739688,103588615.55934516,46.24588552747156,0.0005921577672335365,103649992.70760067,5389799620.795235,120973266580475.69,53.9750721830464,22444.854185994165,46.24588552747155
2018,5,Antioquia,125172.9567513896,2236932.926586854,2236333.943726874,102930577.9082719,46.02647927291977,0.0002677697005845081,102958146.9804616,5353823642.984003,125172956751389.61,55.957402773976064,23380.104594110857,46.02647927291977
2019,5,Antioquia,129671.98068228063,2393451.1005892884,2392748.195739815,109645550.10359995,45.824107316774544,0.00029367838319338535,109677760.0908557,5703243524.724497,129671980682280.62,54.17782742682909,22736.532311855754,45.824107316774544
2021,5,Antioquia,137020.32961372682,2211451.4605565486,2210748.3270843267,100614504.86358164,45.51151464458116,0.000317951121588278,100646505.53289975,5233618287.710787,137020329613726.81,61.95945606657963,26180.803046998724,45.51151464458116
2022,5,Antioquia,146040.20836687976,2937648.98824056,2935540.4544092813,134199986.55771065,45.71559773810568,0.0007177623465973726,134296379.44215858,6983411730.992247,146040208366879.75,49.71329418575203,20912.444231056306,45.715597738105686
2023,5,Antioquia,146272.28860791906,3075272.3299899073,3073990.615260866,140164661.79696646,45.59697127932571,0.0004167808868639211,140223104.10665485,7291601413.546052,146272288607919.06,47.56401154508457,20060.37910083512,45.5969712793257
2024,5,Antioquia,149162.56286814398,3130339.2561002993,3130021.9262336837,141036645.1965399,45.05931540430055,0.00010137235636586972,141050943.86308694,7334649080.880521,149162562868144.0,47.6506061052204,20336.7006687438,45.059315404300555
2010,8,Atlántico,26632.75430434173,760919.0698676498,760494.4607617614,36089875.663816236,47.45580346195584,0.0005580213753378915,36110025.830093436,1877721343.1648586,26632754304341.73,35.000771250185764,14183.549865526267,47.45580346195584
2011,8,Atlántico,28126.179779351547,840843.0737257728,840536.8432707902,39697413.291807234,47.2286415635658,0.000364194538257534,39711876.14020146,2065017559.2904758,28126179779351.547,33.449974981329795,13620.310225844029,47.22864156356581
2012,8,Atlántico,30066.027063020214,841100.2026149115,840919.0219038634,39843969.70644728,47.38145846224224,0.0002154091872582642,39852554.31278196,2072332824.2646618,30066027063020.215,35.74607040819561,14508.300361303558,47.381458462242236
