depto,departamento,pib_2010,pib_2024,ocupados_2010,ocupados_2024,horas_2010,horas_2024,horas_sem_2010,horas_sem_2024,pib_trabajador_2010,pib_trabajador_2024,pib_hora_2010,pib_hora_2024,crec_pib,crec_ocupados,crec_horas,crec_horas_por_trabajador,crec_pib_trabajador,crec_pib_hora
63,Quindío,5103.625939220887,7970.451714641012,254039.902530443,235888.77959825317,637884680.3849237,528892203.537304,48.287741264801625,43.117794460174665,20.089859460599072,33.78902433687455,8000.859867243035,15070.08736626014,0.03235452145184192,-0.0052810722896977635,-0.013294612499775815,-0.008056084977214661,0.037835405251784415,0.046264198543871204
18,Caquetá,2573.310348401396,3896.2083901751707,172190.04403764955,156651.94694931235,436319408.25307125,372639401.3750858,48.72963415460857,45.745632107943116,14.944594286988734,24.871752097890372,5897.767323036065,10455.706980522395,0.03007265418955507,-0.00673240144380105,-0.011205556424529584,-0.0045034741767784325,0.037054521547723374,0.04174599774734067
66,Risaralda,10503.061453880591,16348.008932040064,418703.329710254,422915.4710528113,1039497930.8358268,997656211.8435585,47.74345796963061,45.3653216654519,25.084733529940625,38.655499859920276,10103.975334934452,16386.415217954436,0.03210748040128153,0.0007152343411023221,-0.0029302966254657337,-0.0036429254212047013,0.031369809295297424,0.035140749847441644
27,Chocó,3793.911356124453,3769.7102564905877,199424.21845789676,131819.79348657696,494431668.345826,316011225.9520717,47.678769348419124,46.10186983213254,19.02432605960263,28.597452300473012,7673.277419339641,11929.039055917356,-0.0004569929432711728,-0.029138369302467826,-0.03146790574260794,-0.0023994525754060803,0.02954218752943194,0.03201846689769616
17,Caldas,10675.32742860875,15746.930873762623,392289.33006841835,429957.62929398025,978041705.3353018,1011796162.5207211,47.94546497120082,45.25473484902362,27.212892654375505,36.624378312858774,10915.0022646007,15563.3431486158,0.028154058190678066,0.006570564413488578,0.0024265175619389012,-0.004116995865028339,0.021442603767939383,0.025665263416327688
76,Valle del Cauca,63805.174121525146,99509.13857737576,1576468.7412397896,1825807.5991241753,3847959743.001996,4245578132.244953,46.93986242236932,44.71759968113164,40.4734787645371,54.5014374050746,16581.559679142425,23438.301092991045,0.03225315558002806,0.010543411095743194,0.007048649242310745,-0.003458299579275792,0.021483237875693728,0.025028092095332966
70,Sucre,5205.7097818538,8123.3195009249675,298255.95407794014,369316.4532408935,704832497.9490471,783766114.8816103,45.44576874016973,40.81168102292357,17.453833563682842,21.995552674785333,7385.740295746304,10364.468872390604,0.03229500833695842,0.015381514069944258,0.007610993912934294,-0.007652808377280329,0.01665728007911027,0.024497563616457718
11,Bogotá D.C.,167408.94535518353,267051.3678142882,3269608.6969012227,3964950.027902832,8213766255.048319,9352943285.981852,48.31068730518667,45.36357146885014,51.20152314062709,67.35302234200888,20381.50833088185,28552.655527650164,0.033919836339455056,0.01386835268030362,0.00932027471919139,-0.00448586638402193,0.01977720638595981,0.024372404118313762
13,Bolívar,23076.789357966394,35907.28967549529,646900.0423447139,796377.3261698836,1613811805.061528,1816530860.7631476,47.974710733581674,43.86524406956144,35.6728827444866,45.088287292392764,14299.554189397302,19766.958245019952,0.03208342349855564,0.01495945431194623,0.008487934264591601,-0.006376136524332221,0.01687157956296681,0.023396897902571823
73,Tolima,14820.06576174138,20323.273624119254,491270.9001795661,507517.6378363845,1182048576.3752449,1200513582.558283,46.27121896192689,45.489649902621075,30.16678935455865,40.044467638129944,12537.611446720026,16928.81606621272,0.022812357980597442,0.0023266852191901055,0.0011077871288036611,-0.0012160686813599275,0.020438119690415535,0.021680553413776504
