sector_code,sector,pib_trabajador_2010,pib_trabajador_2025,crec_pib_trabajador,pib_hora_2010,pib_hora_2025,crec_pib_hora
A,Agropecuario,13.510751435150661,20.4269966621645,0.02794134503397805,5777.622480796794,9361.243396250928,0.03269551706990703
B,Minas,200.80025583455117,115.79302909917726,-0.03603512306994183,77627.57169009533,48440.77732720253,-0.030949655732901094
C,Manufactura,41.08490068483633,44.99371883132802,0.006077206706750493,16943.90386716439,19530.153389960436,0.009515082182928625
D+E,Servicios públicos,180.0615957436688,99.4619176191062,-0.03879567655924898,71289.19775623216,43452.011159341826,-0.03246709562060168
F,Construcción,41.782994234701185,26.145737759926565,-0.030770205326676514,16428.8928278483,11011.364204686271,-0.026321630736615864
G+H+I,"Comercio, transporte y alojamiento",19.912015152306232,24.11131450259721,0.012838912497513899,7626.326992029986,10117.598717363559,0.01902334909741854
J,Información y comunicaciones,45.338270594807916,78.59985264662826,0.03736227939459691,17585.51292470896,34042.07043096726,0.04501869941583636
K,Financieras,101.03473065585972,124.51493711698781,0.014028242483847597,42976.59314757772,54186.34691822161,0.015571549382189742
L,Inmobiliarias,279.99420715390875,284.58092533255433,0.0010838366913195063,105347.33341130118,119543.33910561772,0.008463356587022464
M+N,Profesionales y administrativas,56.58792052671237,42.436579189422766,-0.01900278249668752,25960.84098912559,20618.751029363793,-0.015241874072129624
O+P+Q,"Adm. pública, educación y salud",43.63501977724685,58.35774709331897,0.019571192128577053,19391.1649694911,26080.29410168772,0.019953968851062154
R+S+T,"Arte, recreación y hogares como empleadores",10.388344930310154,24.16747058907398,0.05790253016812574,4725.8559275784055,11642.556192541919,0.0619511127930823
