"ANIO","SECTOR_HOM","establecimientos_unicos","valor_agregado_total","personal_total","productividad_laboral","total_establecimientos","porcentaje_establecimientos"
2002,"Textiles",290,1227879312,41295,29734.3337450054,6867,0.0422309596621523
2002,"Alimentos y bebidas",1475,8185064700,119126,68709.305273408,6867,0.214795398281637
2002,"Refinación, químicos y farmacéuticos",526,4992775576,48164,103661.979403704,6867,0.0765982233872142
2002,"Equipo de transporte",171,795192552,12993,61201.6125606096,6867,0.0249017038007864
2002,"Minerales no metálicos",351,2374517614,25258,94010.5160345237,6867,0.0511140235910878
2002,"Caucho y plástico",474,1538841719,35366,43511.8961431884,6867,0.0690257754477938
2002,"Confecciones, cuero y calzado",1043,1723939404,87564,19687.7644237358,6867,0.151885830784913
2002,"Muebles y otras manufactureras",851,7276933835,61721,117900.452601222,6867,0.123926023008592
2002,"Metalurgia y productos metálicos",517,1219914950,30952,39413.1219307315,6867,0.0752876073976991
2002,"Maquinaria y equipo",505,998248221,28196,35403.8949141722,6867,0.073540119411679
2002,"Madera, papel e impresión",661,2414514403,40478,59650.0420722368,6867,0.0962574632299403
2002,"Tabaco",3,1534890,66,23255.9090909091,6867,0.000436871996505024
2003,"Textiles",323,1370438650,43530,31482.6246266942,7220,0.0447368421052632
2003,"Alimentos y bebidas",1479,8186750609,119054,68765.019310565,7220,0.204847645429363
2003,"Refinación, químicos y farmacéuticos",566,5506504100,48181,114287.874888441,7220,0.078393351800554
2003,"Equipo de transporte",181,737314515,12622,58415.0305022976,7220,0.0250692520775623
2003,"Minerales no metálicos",358,2711301215,26237,103338.842664939,7220,0.049584487534626
2003,"Caucho y plástico",521,1695453773,37026,45790.8975584724,7220,0.0721606648199446
2003,"Confecciones, cuero y calzado",1097,1968317755,94393,20852.3699320924,7220,0.151939058171745
2003,"Muebles y otras manufactureras",896,9660511353,62490,154592.916514642,7220,0.12409972299169
2003,"Metalurgia y productos metálicos",550,1556386924,32226,48296.0008688637,7220,0.0761772853185596
2003,"Maquinaria y equipo",537,1021407311,29099,35101.1138183443,7220,0.0743767313019391
2003,"Madera, papel e impresión",712,2659765209,41109,64700.314018828,7220,0.0986149584487535
2004,"Textiles",299,1521448966,43965,34605.9130217218,7243,0.0412812370564683
2004,"Alimentos y bebidas",1447,8927326362,120590,74030.4035326312,7243,0.19977909705923
2004,"Refinación, químicos y farmacéuticos",586,5719735394,51773,110477.186834837,7243,0.0809057020571586
2004,"Equipo de transporte",196,1204760796,15164,79448.7467686626,7243,0.0270606102443739
2004,"Minerales no metálicos",364,2583373072,26469,97599.9498281008,7243,0.0502554190252658
2004,"Caucho y plástico",537,1907915254,40442,47176.580139459,7243,0.0741405494960652
2004,"Confecciones, cuero y calzado",1115,2226500150,103294,21554.9804441691,7243,0.153941736849372
2004,"Muebles y otras manufactureras",894,12352936851,69314,178217.053567822,7243,0.12342951815546
2004,"Metalurgia y productos metálicos",562,1994371450,35940,55491.6930996105,7243,0.0775921579456026
2004,"Maquinaria y equipo",540,1281834221,32482,39462.9093344006,7243,0.0745547425100097
2004,"Madera, papel e impresión",700,2923905302,43651,66983.695722893,7243,0.0966450365870496
2004,"Tabaco",3,3273684,78,41970.3076923077,7243,0.000414193013944498
2005,"Textiles",320,1599198577,46591,34324.1951664485,7524,0.0425305688463583
2005,"Alimentos y bebidas",1496,10112566143,124208,81416.3833488986,7524,0.198830409356725
2005,"Refinación, químicos y farmacéuticos",624,5729449486,54499,105129.442485183,7524,0.0829346092503987
2005,"Equipo de transporte",207,1434852367,17074,84037.2711139745,7524,0.027511961722488
2005,"Minerales no metálicos",373,2479719986,29925,82864.4941019215,7524,0.0495746943115364
2005,"Caucho y plástico",561,2222766231,42589,52191.0876282608,7524,0.0745614035087719
2005,"Confecciones, cuero y calzado",1116,2325425908,100774,23075.6535217417,7524,0.148325358851675
2005,"Muebles y otras manufactureras",921,13854714871,67577,205021.159136984,7524,0.122408293460925
2005,"Metalurgia y productos metálicos",595,2187102886,37543,58255.9434781451,7524,0.0790802764486975
2005,"Maquinaria y equipo",579,1435901173,34174,42017.3574354773,7524,0.0769537480063796
2005,"Madera, papel e impresión",728,3113401811,44972,69229.7832206706,7524,0.0967570441254652
2005,"Tabaco",4,3279848,84,39045.8095238095,7524,0.000531632110579479
2006,"Textiles",305,1762046936,49013,35950.6036357701,7369,0.0413896051024562
2006,"Alimentos y bebidas",1457,11280724017,128400,87856.1060514019,7369,0.197720179128783
2006,"Refinación, químicos y farmacéuticos",610,6539211953,60287,108468.027153449,7369,0.0827792102049125
2006,"Equipo de transporte",190,1816634222,18749,96892.3260973919,7369,0.0257836884244809
2006,"Minerales no metálicos",375,3412946253,33167,102901.867910875,7369,0.0508888587325282
2006,"Caucho y plástico",568,2415722387,45129,53529.2691395777,7369,0.0770796580268693
2006,"Confecciones, cuero y calzado",1049,2665141110,96469,27626.9175590086,7369,0.142353100827792
2006,"Muebles y otras manufactureras",924,17937570779,71468,250987.445835899,7369,0.125390147916949
2006,"Metalurgia y productos metálicos",605,2523345388,40933,61645.7476363814,7369,0.0821006920884788
2006,"Maquinaria y equipo",557,1352844307,33497,40387.0288981103,7369,0.0755869181707152
2006,"Madera, papel e impresión",725,3735607976,48049,77745.8006618244,7369,0.0983851268828878
2006,"Tabaco",4,4421480,124,35657.0967741935,7369,0.000542814493146967
2007,"Textiles",298,1922193547,49928,38499.3099463227,7262,0.0410355274029193
2007,"Alimentos y bebidas",1439,12302446308,135082,91073.9129417687,7262,0.19815477829799
2007,"Refinación, químicos y farmacéuticos",599,6990983822,62551,111764.54128631,7262,0.0824841641421096
2007,"Equipo de transporte",193,2249297718,20977,107226.854078276,7262,0.0265767006334343
2007,"Minerales no metálicos",377,4530059175,36468,124220.115580783,7262,0.0519140732580556
2007,"Caucho y plástico",561,2689580349,47198,56985.0491334379,7262,0.0772514458826769
2007,"Confecciones, cuero y calzado",1021,2630269004,94150,27937.0048220924,7262,0.14059487744423
2007,"Muebles y otras manufactureras",881,20183428489,76219,264808.361287868,7262,0.121316441751584
2007,"Metalurgia y productos metálicos",597,2537709280,43478,58367.6636459819,7262,0.0822087579179289
2007,"Maquinaria y equipo",567,1526372677,36905,41359.5089283295,7262,0.0780776645552189
2007,"Madera, papel e impresión",725,4030518866,47546,84770.9347999832,7262,0.0998347562654916
2007,"Tabaco",4,4809252,108,44530.1111111111,7262,0.000550812448361333
2008,"Textiles",311,1749659780,45876,38138.8913593164,7934,0.0391983866901941
2008,"Alimentos y bebidas",1538,15045504414,145654,103296.197934832,7934,0.193849256365011
2008,"Refinación, químicos y farmacéuticos",687,8056224264,66769,120658.15369408,7934,0.0865893622384674
2008,"Equipo de transporte",211,1873763068,20916,89585.1533754064,7934,0.0265944038316108
2008,"Minerales no metálicos",394,4111423846,37403,109922.301580087,7934,0.0496596924628182
2008,"Caucho y plástico",629,2766414721,48872,56605.31021853,7934,0.079279052180489
2008,"Confecciones, cuero y calzado",1081,2733199885,89595,30506.1653552096,7934,0.136249054701286
2008,"Muebles y otras manufactureras",941,19296092587,76691,251608.30588987,7934,0.118603478699269
2008,"Metalurgia y productos metálicos",674,3105643837,45687,67976.5324271675,7934,0.0849508444668515
2008,"Maquinaria y equipo",630,1829363282,38490,47528.2744089374,7934,0.0794050920090749
2008,"Madera, papel e impresión",835,4432801989,52804,83948.2234111052,7934,0.105243256869171
2008,"Tabaco",3,5325759,87,61215.6206896552,7934,0.000378119485757499
2009,"Textiles",363,1640670957,42651,38467.3502848702,9128,0.0397677475898335
2009,"Alimentos y bebidas",1687,16653800707,146350,113794.333495046,9128,0.184815950920245
2009,"Refinación, químicos y farmacéuticos",777,8523697387,69873,121988.427389693,9128,0.0851226993865031
2009,"Equipo de transporte",235,1815185417,18523,97996.2974140258,9128,0.0257449605609115
2009,"Minerales no metálicos",448,4461587719,36410,122537.427053007,9128,0.049079754601227
2009,"Caucho y plástico",724,3007077095,49390,60884.3307349666,9128,0.0793163891323401
2009,"Confecciones, cuero y calzado",1328,2514411413,80609,31192.6883226439,9128,0.145486415425066
2009,"Muebles y otras manufactureras",1029,16741405831,69597,240547.808540598,9128,0.112730061349693
2009,"Metalurgia y productos metálicos",809,2863179418,47614,60133.1418910405,9128,0.0886283961437336
2009,"Maquinaria y equipo",751,2152862562,42762,50345.2261821243,9128,0.0822743207712533
2009,"Madera, papel e impresión",974,4276548367,51807,82547.6936900419,9128,0.106704645048203
2009,"Tabaco",3,3258018,69,47217.652173913,9128,0.000328659070990359
2010,"Textiles",404,1515421140,43689,34686.5604614434,9942,0.0406356869845102
2010,"Alimentos y bebidas",1791,16666816774,149697,111337.012592103,9942,0.18014484007242
2010,"Refinación, químicos y farmacéuticos",844,9363046756,74127,126310.882080753,9942,0.0848923757795212
2010,"Equipo de transporte",239,2036748273,19566,104096.303434529,9942,0.024039428686381
2010,"Minerales no metálicos",481,4281646215,36706,116647.039039939,9942,0.0483806075236371
2010,"Caucho y plástico",788,2910306018,52558,55373.2261121047,9942,0.0792597062965198
2010,"Confecciones, cuero y calzado",1458,2621668910,82950,31605.411814346,9942,0.146650573325287
2010,"Muebles y otras manufactureras",1125,18684815990,73910,252804.978893249,9942,0.113156306578153
2010,"Metalurgia y productos metálicos",914,3013154887,49683,60647.6035464847,9942,0.091933212633273
2010,"Maquinaria y equipo",844,2086942047,43651,47809.7190671462,9942,0.0848923757795212
2010,"Madera, papel e impresión",1051,4337883460,53408,81221.6046285201,9942,0.105713136189901
2010,"Tabaco",3,1111095,66,16834.7727272727,9942,0.000301750150875075
2011,"Textiles",393,1711086865,42813,39966.5257048093,9802,0.0400938583962457
2011,"Alimentos y bebidas",1745,17943931585,152709,117504.086759785,9802,0.178024892879004
2011,"Refinación, químicos y farmacéuticos",881,10982272587,78394,140090.728716483,9802,0.0898796164048153
2011,"Equipo de transporte",235,2199690637,21623,101729.206724321,9802,0.023974699041012
2011,"Minerales no metálicos",491,5329252275,38578,138142.264373477,9802,0.0500918179963273
2011,"Caucho y plástico",775,3086803350,55064,56058.4656036612,9802,0.0790654968373801
2011,"Confecciones, cuero y calzado",1418,2900049662,83284,34821.2101003794,9802,0.144664354213426
2011,"Muebles y otras manufactureras",1099,19346331620,72079,268404.550840051,9802,0.112119975515201
2011,"Metalurgia y productos metálicos",912,3319195468,51710,64188.6572809901,9802,0.0930422362783106
2011,"Maquinaria y equipo",827,2384697088,45972,51872.8158009223,9802,0.0843705366251785
2011,"Madera, papel e impresión",1026,4438393650,54053,82111.8837067323,9802,0.104672515813099
2012,"Textiles",299,1394884113,35290,39526.3279399263,9289,0.0321886101840887
2012,"Alimentos y bebidas",1722,17776212639,155262,114491.714901264,9289,0.185380557648832
2012,"Refinación, químicos y farmacéuticos",833,21017425626,79544,264223.896535251,9289,0.0896759608138659
