depto,departamento,pib_inicio,pib_fin,ocupados_inicio,ocupados_fin,horas_sem_inicio,horas_sem_fin,pib_trabajador_inicio,pib_trabajador_fin,pib_hora_inicio,pib_hora_fin,crec_pib,crec_ocupados,crec_pib_trabajador,crec_pib_hora,ranking_pib_trabajador,ranking_pib_hora,ranking_crec_pib_trabajador,ranking_crec_pib_hora,pib_hora_rel_lider,rem_trabajador_inicio,rem_hora_inicio,rem_total_mensual_inicio,ocupados_rem_inicio,horas_mensuales_inicio,rem_trabajador_fin,rem_hora_fin,rem_total_mensual_fin,ocupados_rem_fin,horas_mensuales_fin,crec_rem_trabajador,crec_rem_hora,rem_predicha_trabajador,residuo_trabajador,residuo_pct_trabajador,rem_predicha_hora,residuo_hora,residuo_pct_hora
5,Antioquia,111128.94804581454,149162.56286814398,2310905.774353146,3130339.2561002993,46.47023304954048,45.05931540430055,48.0889135676339,47.6506061052204,19.900627534871372,20.336700668743802,0.029872029789108634,0.030815444742597453,-0.0009152122800453188,0.002169941202573966,12,13,19,20,0.10061175828002966,1864181.3078146,9257.446287392951,4307947348669.9585,2310905.774353146,465349429.5221179,2119954.4145927005,10857.249941145361,6636176525142.659,3130339.2561002993,611220756.7400434,0.012940270576872859,0.016068209508449893,1580645.4365765639,539308.9780161367,0.34119541646493307,8231.60060257037,2625.649338574991,0.3189719066004144
8,Atlántico,33772.29157519511,45132.440414469056,757054.86887733,1209186.9753406516,47.00869792138585,44.97777455488898,44.61009758153663,37.32461673411125,18.24952678730431,15.958572831669366,0.02942053826044555,0.04794046478395364,-0.017672689571469502,-0.013324727634467681,20,20,30,29,0.07895184663370207,1251498.6599517043,6143.700971015187,947453153909.8917,757054.86887733,154215375.77753142,1582370.1463129995,8118.728529158714,1913381371089.5603,1209186.9753406516,235675003.07684636,0.02373551328654644,0.028266755570124147,1564596.7507963674,17773.395516632125,0.011359729276943472,8156.805439487423,-38.076910328709346,-0.004668115552245183
11,Bogotá D.C.,198995.5951380746,267051.3678142882,3620902.1725722044,3964950.027902832,47.144901120732825,45.36357146885013,54.957462437244686,67.35302234200888,22.417573322145355,28.552655527650163,0.02985275315678182,0.009118324725127636,0.0205470735429385,0.024485440262149494,6,6,7,8,0.14125855137436805,2364893.424053202,11575.899478978195,8563047737055.958,3620902.1725722044,739730657.872974,2947148.4144355017,14992.452105078448,11685296188049.828,3964950.027902832,779411940.4984876,0.022254528981426658,0.026199484897596603,1611266.9950472265,1335881.4193882751,0.8290875587314567,8371.96052498978,6620.491580088668,0.7907934539737633
13,Bolívar,27792.85110444693,35907.28967549529,655328.3124304536,796377.3261698836,44.824477908510985,43.86524406956144,42.41057585528389,45.088287292392764,18.195147724456575,19.766958245019953,0.025947062773217677,0.019684917432291282,0.0061412552386233,0.008320103088810038,14,14,16,14,0.0977930716134317,1160506.9604473328,5974.621703600907,760513067953.7458,655328.3124304536,127290581.00789617,1330554.9499651527,6999.873107117091,1059623793375.3516,796377.3261698836,151377571.7302623,0.013767832204856445,0.015963195778596395,1576663.0724642386,-246108.12249908596,-0.15609430245260475,8221.867223582018,-1221.9941164649263,-0.14862732311706447
15,Boyacá,20986.058056684422,25177.13652572238,511818.69847736997,529805.9535491505,43.2427447369208,40.43534088736809,41.002913959800004,47.52142998216927,18.2346791570971,22.600864329271605,0.018374571294451192,0.003460007688359523,0.01486313703766795,0.021698350450467085,13,11,11,9,0.11181325505327798,1280729.1880662532,6834.739361523615,655501146138.0485,511818.69847736997,95907263.09597309,1487851.043294151,8491.340328169474,788272340731.5562,529805.9535491505,92832498.78897369,0.0151032416357888,0.021940072179124748,1580444.670632048,-92593.62733789696,-0.058587073029812,8270.281174846401,221.05915332307268,0.026729339504854052
17,Caldas,12106.336467296247,15746.930873762623,417250.13007695647,429957.62929398025,47.31781818192782,45.25473484902362,29.014578054327714,36.624378312858774,11.792019926735021,15.5633431486158,0.026640323501335494,0.003004584043321934,0.023564936625446897,0.028138137050647716,21,21,6,5,0.07699652684096922,1458113.7390097345,7111.227838772978,608398147268.8091,417250.13007695647,85554585.09592436,1852688.968967749,9447.488967721816,796577756916.4819,429957.62929398025,84316346.87672676,0.02423853514623331,0.028814745151902965,1563508.4379974655,289180.53097028355,0.18495616905059026,8150.053405353361,1297.435562368455,0.15919350436602472
18,Caquetá,3323.447940373748,3896.2083901751707,188742.1580393684,156651.94694931235,47.332018665681105,45.74563210794312,17.60840278026562,24.871752097890372,7.154208502737029,10.455706980522395,0.016027188599481823,-0.01846297141110531,0.035138929053111445,0.0386738099285624,27,29,3,4,0.051727518662254966,1347749.6399762502,6571.009571420134,254377175545.8993,188742.1580393684,38712038.50505471,1473931.8518630723,7435.42288055188,230894294264.9557,156651.94694931235,31053283.447923813,0.00898989766934033,0.012435482597787706,1545242.4686615055,-71310.61679843324,-0.046148496591737316,8062.795450725846,-627.3725701739668,-0.07781080073381845
19,Cauca,13898.553682667705,17418.488066932117,510662.2042522689,653618.4184819818,39.437365030509255,37.424753781581735,27.216726765628756,26.649322562522446,13.27164203901044,13.693796767433026,0.022831476873009793,0.024988650659330647,-0.0021045830945866095,0.0031362435744983763,26,25,21,18,0.06774732011561477,1037554.6346820133,6071.290126543392,529839936778.8745,510662.2042522689,87269744.27765188,1060471.2353647884,6539.097963510637,693143531704.7666,653618.4184819818,105999869.6414451,0.002187062071872692,0.0074504279450282596,1548005.1743755802,-487533.9390107917,-0.31494335230981935,8118.114405014546,-1579.016441503909,-0.1945053201675198
20,Cesar,14390.724653960997,15193.05583498387,375681.4254301906,466649.8886965541,47.83317452444913,45.24457642006785,38.30565920974736,32.55771875874887,15.400342959019302,13.838343193154088,0.005440203727990367,0.021920577765630833,-0.01612686386418971,-0.010637670272929056,23,24,28,27,0.06846243464091442,1272853.4503725495,6140.830386958669,478187398599.69574,375681.4254301906,77870152.48218322,1260816.0306821216,6430.771786670463,588359660384.6432,466649.8886965541,91491298.3857054,-0.0009497523744319558,0.004624116872727457,1557188.0226829248,-296371.9920008031,-0.19032511660998724,8120.583810634298,-1689.8120239638347,-0.20808996783592626
23,Córdoba,13683.779018080728,17032.132414305022,631624.0728066363,774002.029012392,40.071649749518194,39.703648401760894,21.664435551476902,22.005281350538073,10.396970506819086,10.658428243878445,0.022130381394521947,0.02053603109380364,0.0015622675262230157,0.0024867365416685328,31,28,17,19,0.052730441559101685,1154852.3643335437,6650.696775280226,729432553850.7263,631624.0728066363,109677614.01511075,1044763.9808297885,6072.474190578331,808649441001.3202,774002.029012392,133166385.82934938,-0.009968136331154565,-0.00905431018979419,1540787.390637593,-496023.4098078046,-0.3219285235729669,8066.258705001955,-1993.7845144236235,-0.2471758701698051
25,Cundinamarca,46230.44792279673,60506.329392063584,965222.6841272218,1497470.1840930174,45.503374454059966,44.743474286666725,47.89614736893533,40.405698914607,20.242009920051732,17.366391050824163,0.027276304392146233,0.04489599942883693,-0.01686263039223257,-0.015205545703307566,15,15,29,30,0.08591674564436216,1487501.05451203,7543.824567664194,1435769760478.1746,965222.6841272218,190323853.3187065,1788958.8788621982,9226.745820134887,2678912581664.614,1497470.1840930174,290342080.933736,0.018624945481472643,0.020341844719661495,1569385.3785976013,219573.5002645969,0.1399105046211194,8180.856357416578,1045.889462718309,0.12784596343268262
27,Chocó,3471.6562487517144,3769.7102564905877,147373.91591592142,131819.79348657696,41.50544345497884,46.101869832132536,23.556789050325133,28.597452300473012,10.914596648897435,11.929039055917356,0.008270650235177035,-0.011091749258482886,0.019579571187864353,0.008927075659620032,25,26,9,13,0.05901653437086886,1032728.710334211,5741.945880800784,152197274120.75198,147373.91591592142,26506218.84641069,1159388.710645619,5803.479162394825,152830380407.97424,131819.79348657696,26334268.82933931,0.011636013799133371,0.0010665119988459981,1551032.9638589686,-391644.2532133495,-0.25250543498375366,8087.965595809626,-2284.4864334148015,-0.28245501373032467
41,Huila,13915.06204359526,15353.680484528884,385504.44524862897,485561.0025486689,44.789317751396474,42.75475798218274,36.095723966609036,31.620497535713756,15.498082414924976,14.22266245372801,0.00988689178947122,0.023343513031430785,-0.013149661937170376,-0.008551194879988011,24,23,26,26,0.07036377730101719,1305350.25025596,6725.59191028532,503218324080.0828,385504.44524862897,74821418.06887221,1359693.5649072973,7338.959518524003,660214170535.3608,485561.0025486689,89960186.9814022,0.004087125476291975,0.00876591149982131,1555731.3904538518,-196037.82554655452,-0.1260100726574429,8127.149453036771,-788.1899345127676,-0.09698233545074707
44,La Guajira,8720.613786502312,8221.498196294806,327326.18814675946,331294.377495861,44.36253756658363,42.970837566744265,26.641967866599025,24.816292562639465,11.549058372216802,11.106052906092627,-0.005876383022996645,0.001205741036966801,-0.0070735951360291205,-0.0039037246670802217,28,27,24,24,0.05494497502981806,1291612.0884482423,6718.829545223297,422778461476.03827,327326.18814675946,62924421.37881137,892333.0469178152,4792.15725100399,295624921297.6225,331294.377495861,61689319.82265129,-0.036305262076219647,-0.033228712317988074,1545156.2732740447,-652823.2263562295,-0.42249657050736805,8073.905845710535,-3281.748594706545,-0.4064635701009638
47,Magdalena,10128.23712088042,13126.113447441481,424610.63240295416,550091.0381352282,45.54777358181534,44.75745759078868,23.8529993080078,23.861711130466922,10.07099774767331,10.252572082998002,0.026266681171318806,0.026229206397181182,3.651696317352737e-05,0.0017884800271399381,30,31,18,22,0.05072254939310629,1159335.859685849,5873.811681756964,492266332548.6308,424610.63240295416,83806965.42885844,1153212.775250327,5945.959386051854,634372012728.26,550091.0381352282,106689597.34511171,-0.0005294139705424028,0.0012215576395362415,1543672.659752283,-390459.88450195594,-0.25294215197450864,8059.325129996626,-2113.3657439447716,-0.2622261429904189
50,Meta,29878.124081089773,32066.04600507523,361230.27541229775,508097.8658874078,49.8367484080087,46.87483668533024,82.71212607245545,63.109979706509776,31.916564781944544,25.891363932458002,0.007092144671698275,0.0347044642351777,-0.026686189649224534,-0.020704229628883408,7,9,31,31,0.1280923435882804,1685964.9118231537,7806.866182762844,609021569433.3481,361230.27541229775,78011016.86333963,1833148.973438711,9024.764850396748,931419081257.9014,508097.8658874078,103207019.42909396,0.008404843093104963,0.014602471639572734,1604672.4445822006,228476.5288565103,0.142382035429042,8326.495489184274,698.2693612124749,0.08386113486994547
52,Nariño,11569.079276205677,14662.831531486238,619344.9242966219,824688.2288883963,41.207546443304764,37.48913570580341,18.679541596864556,17.779848211548238,8.717382731827794,9.120513222753736,0.023981015103586856,0.029048209394181512,-0.0049241563654028875,0.0045309367422794455,33,33,23,17,0.04512191464605922,1015758.7534231069,5688.420845367959,629105028242.4652,619344.9242966219,110593967.17363852,1055936.988490818,6499.956907170903,870818804856.2397,824688.2288883963,133973012.0203616,0.0038867980807628655,0.01342561183666402,1534220.2089084883,-478283.2204176702,-0.31174352784594195,8039.985236274371,-1540.0283291034684,-0.19154616381075573
54,Norte de Santander,12253.405829289468,15628.732391989028,552809.7225273908,642195.3250474753,46.00101045207522,46.674687287846346,22.16568437557162,24.336415701614847,9.266386909321797,10.027019385809337,0.024629118493009416,0.01510074547684126,0.009386627936808445,0.007920184627493887,29,32,15,15,0.04960667254471304,1315080.214851916,6597.247464756953,726989128673.5492,552809.7225273908,110195825.23729567,1490170.0387327948,7367.706427960717,956980232400.016,642195.3250474753,129888485.88866691,0.012577699169240564,0.011106619851355415,1544410.4471184108,-54240.40838561603,-0.03512046197746122,8055.471827535432,-687.765399574715,-0.08537866115101747
63,Quindío,6103.736923208317,7970.451714641012,362483.14589318994,235888.77959825317,47.37419100247256,43.117794460174665,16.8386778595407,33.78902433687455,6.835382751996534,15.070087366260141,0.027043203165997953,-0.04205197468466004,0.07212831596778235,0.08226918512358505,22,22,1,1,0.07455624253168258,1295273.9214501982,6309.540282659529,469514965840.67645,362483.14589318994,74413498.41779147,1705686.0244509606,9128.942162381212,402352194685.5333,235888.77959825317,44074350.29477533,0.027906818564936264,0.03762941276954401,1559101.721759357,146584.30269160355,0.09401843423416373,8141.6267106437,987.3154517375124,0.1212675902282251
66,Risaralda,12366.56066412632,16348.008932040064,445497.8159564528,422915.4710528113,48.88982511941321,45.365321665451894,27.75897035000312,38.655499859920276,10.918966299854961,16.386415217954436,0.028304161565897212,-0.005188494759557072,0.033667339138140795,0.04143038110962349,19,19,4,3,0.0810685112516272,1471723.0249028963,6946.811315701493,655649393287.0645,445497.8159564528,94381344.69049655,1816850.388764765,9242.151300721878,768374137996.934,422915.4710528113,83138017.65362988,0.02129053771289402,0.028960627507889303,1566665.2136166017,250185.17514816346,0.1596928130998825,8164.114623286262,1078.0366774356162,0.13204575476693628
68,Santander,52134.65967115733,62586.91370183193,967061.9092605794,1009902.5625092613,46.92691172654979,45.61257372903086,53.910364136893534,61.9732200167162,22.092606006220162,26.128599971341274,0.01844058883158861,0.0043440699377963465,0.014035547493863598,0.016920305448357986,8,8,12,12,0.12926602143250024,1821072.3213290835,8955.361503801818,1761089675966.0989,967061.9092605794,196651991.68324628,1798426.6096841346,9098.840328047005,1816235641604.8506,1009902.5625092613,199611772.0635605,-0.0012505512294382903,0.0015907203847653761,1602905.6890284775,195520.92065565707,0.12197905465926849,8330.54838779248,768.2919402545249,0.09222585410828102
