indicador,depto,departamento,nivel_inicial_log,crecimiento_anualizado,nivel_inicial,nivel_final,ocupados_fin
Remuneración por trabajador,5,Antioquia,14.337867444516993,0.01719363179967175,1685996.673479852,2182042.497344591,3311770.0767034027
Remuneración por trabajador,8,Atlántico,14.122682868621562,0.011471720689409538,1359575.2171888978,1614859.7664716777,1256860.111565948
Remuneración por trabajador,11,Bogotá D.C.,14.634436122322727,0.01625620465766756,2268061.6416596645,2894373.36748783,4160820.0668823733
Remuneración por trabajador,13,Bolívar,13.93391704417641,0.012760400023275527,1125701.600559124,1363169.477568969,885761.33413306
Remuneración por trabajador,15,Boyacá,13.982683000435571,0.018599647136864662,1181958.067505909,1562312.5845155204,522604.17780840414
Remuneración por trabajador,17,Caldas,14.114878156030388,0.018668435068338596,1349005.4241247324,1784956.6408409935,466839.7189306313
Remuneración por trabajador,18,Caquetá,14.068090938059902,0.013068370744749914,1287342.9687471038,1566127.3894125754,153617.57973122044
Remuneración por trabajador,19,Cauca,13.707944409553651,0.01663261480885474,898017.1180809987,1152487.9885157372,627653.8564868355
Remuneración por trabajador,20,Cesar,14.028060325260705,0.007265553085165758,1236827.6656027017,1379240.6078960267,515871.15542724985
Remuneración por trabajador,23,Córdoba,13.749595480614369,0.00973685440984049,936210.3663811664,1083436.288609747,791370.3113817273
Remuneración por trabajador,25,Cundinamarca,14.068247048097525,0.028913175808385934,1287543.951593701,1986618.8578103834,1706608.0129832893
Remuneración por trabajador,27,Chocó,13.81279269724827,0.01331853054295126,997285.8293236702,1217817.226190146,137366.38913717508
Remuneración por trabajador,41,Huila,13.991583504977807,0.010911073987301378,1192525.0466185892,1404581.0269040922,467605.97177084093
Remuneración por trabajador,44,La Guajira,13.96280758015331,-0.008798108721014941,1158698.0709609487,1015443.427396074,348363.9258438963
Remuneración por trabajador,47,Magdalena,13.925026943278677,0.0063384258655859805,1115738.3525090711,1227025.2857482142,594008.2057770757
Remuneración por trabajador,50,Meta,14.22550765627051,0.011725195296144264,1506813.4127954268,1796562.3399495124,524442.8747610816
