anio,depto,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,departamento,ocupados_remuneracion_valida,rem_total_mensual,rem_por_trabajador,rem_por_hora,share_ocupados_remuneracion_valida
2014,91,11100.542801846786,11085.413145969493,506862.1422248376,45.723342517831725,0.001362965410554251,507553.92066269205,26392803.874459986,2199400.3228716655,Amazonas,11085.413145969493,22211263934.495533,2000916.9219004558,10098.781792254722,0.9986370345894457
2015,91,8163.23435179346,8163.23435179346,367607.2205757099,45.03205527781359,0.0,367607.2205757099,19115575.469936915,1592964.622494743,Amazonas,8163.23435179346,14216661169.160484,1741547.5970057247,8924.655932970916,1.0
2016,91,10426.400988824904,10392.582802575304,498341.3718131682,47.95163832514071,0.003243514831805072,499963.0092490213,25998076.480949108,2166506.3734124256,Amazonas,10392.582802575304,20178573402.172745,1935334.4863486732,9313.87677867286,0.9967564851681949
2017,91,9089.797186998727,9085.71053740469,427312.90210944804,47.03131366008815,0.0004495864440058339,427505.1026083241,22230265.335632853,1852522.1113027378,Amazonas,9085.71053740469,15742065231.481283,1731838.9957035999,8497.639588447928,0.9995504135559942
2018,91,4178.393863849777,4170.677626889461,187479.57029080225,44.95182487422953,0.0018466992848793495,187826.42922333043,9766974.319613183,813914.5266344319,Amazonas,4170.677626889461,6485258321.874833,1552093.5874387915,7967.984486886636,0.9981533007151207
2019,91,3091.321954039974,3091.321954039974,137766.85304615143,44.56567613933167,0.0,137766.85304615143,7163876.3583998745,596989.6965333229,Amazonas,3091.321954039974,3732342556.7817087,1207361.320584548,6251.937978921846,1.0
2021,91,8639.646291122463,8613.268299819067,396489.2301255913,46.03237892100959,0.003053133243487105,397703.4718164443,20680580.534455106,1723381.7112045921,Amazonas,8613.268299819067,16927668708.443563,1959301.126232139,9822.356009924019,0.9969468667565129
2022,91,9550.205890337626,9546.785207748413,412578.17715422314,43.21645121117465,0.0003581789365058041,412726.00691644876,21461752.359655336,1788479.3633046113,Amazonas,9546.785207748413,14732191852.234457,1542604.6329681417,8237.272486618729,0.9996418210634942
2023,91,14514.539968596497,14508.390304604707,616659.1766373869,42.50362470891552,0.000423689900272084,616920.5596477799,32079869.101684555,2673322.4251403795,Amazonas,14508.390304604707,21993197338.1078,1515252.8006875894,8226.915366167592,0.9995763100997279
2024,91,14405.725199169787,14364.792142845188,638624.2437997942,44.45760422073911,0.0028414436454027303,640444.0294174184,33303089.529705755,2775257.460808813,Amazonas,14364.792142845188,23141641214.294247,1606419.7320401417,8338.556527130248,0.9971585563545973
2025,91,16521.648267293047,16483.035878641254,753600.2513806381,45.71974828721659,0.002337078481947308,755365.6000705662,39279011.203669444,3273250.9336391203,Amazonas,16483.035878641254,30021795425.111168,1817118.6639134295,9171.858813688223,0.9976629215180527
2014,5,2310905.774353146,2308592.3108853507,107280822.70321946,46.47023304954048,0.0010011067926137818,107388329.88971952,5584193154.265415,465349429.5221179,Antioquia,2308592.3108853507,4307947348669.9585,1864181.3078146,9257.446287392951,0.9989988932073862
2015,5,2323629.1324160295,2322354.299978315,108268782.57177019,46.62026916942912,0.000548638515471267,108328215.60316236,5633067211.364443,469422267.61370355,Antioquia,2322354.299978315,4059576646068.9263,1747084.5882569558,8648.02742891956,0.9994513614845287
2016,5,2282716.292283985,2279894.4421691163,106854257.36325385,46.86807221723456,0.0012361808273796404,106986512.03822371,5563298625.987633,463608218.83230275,Antioquia,2279894.4421691163,4045191341582.5625,1772095.5316506384,8725.452175483966,0.9987638191726204
2017,5,2241280.3112188047,2239953.1196739688,103588615.55934516,46.24588552747156,0.0005921577672335365,103649992.70760067,5389799620.795235,449149968.3996029,Antioquia,2239953.1196739688,4005369507757.7764,1787089.944844812,8917.666235243394,0.9994078422327665
2018,5,2236932.926586854,2236333.943726874,102930577.9082719,46.02647927291977,0.0002677697005845081,102958146.9804616,5353823642.984003,446151970.24866694,Antioquia,2236333.943726874,4066678492451.975,1817970.68840011,9115.00735990334,0.9997322302994155
2019,5,2393451.1005892884,2392748.195739815,109645550.10359995,45.824107316774544,0.00029367838319338535,109677760.0908557,5703243524.724497,475270293.7270414,Antioquia,2392748.195739815,4447101501344.399,1858028.9775920154,9356.994451453074,0.9997063216168066
2021,5,2211451.4605565486,2210748.3270843267,100614504.86358164,45.51151464458116,0.000317951121588278,100646505.53289975,5233618287.710787,436134857.30923223,Antioquia,2210748.3270843267,4048635012948.707,1830759.1575759933,9282.988839569198,0.9996820488784117
2022,5,2937648.98824056,2935540.4544092813,134199986.55771065,45.71559773810568,0.0007177623465973726,134296379.44215858,6983411730.992247,581950977.5826873,Antioquia,2935540.4544092813,5747640471797.945,1956544.3301108507,9876.50282103235,0.9992822376534026
2023,5,3075272.3299899073,3073990.615260866,140164661.79696646,45.59697127932571,0.0004167808868639211,140223104.10665485,7291601413.546052,607633451.1288377,Antioquia,3073990.615260866,6226670266008.75,2024754.102355932,10247.41191328602,0.9995832191131361
2024,5,3130339.2561002993,3130021.9262336837,141036645.1965399,45.05931540430055,0.00010137235636586972,141050943.86308694,7334649080.880521,611220756.7400434,Antioquia,3130021.9262336837,6636176525142.659,2119954.4145927005,10857.249941145361,0.9998986276436341
2025,5,3311770.0767034027,3310758.8143393244,148407855.6876665,44.8259338750056,0.00030535403746534406,148453186.46752897,7719565696.311506,643297141.3592921,Antioquia,3310758.8143393244,7224216431346.597,2181376.201858106,11229.98373050713,0.9996946459625347
2014,81,24467.03835557965,24439.957410959716,1141426.3295510716,46.70328635839672,0.0011068337829192032,1142691.0986625124,59419937.13045064,4951661.427537554,Arauca,24439.957410959716,52027797415.47713,2126444.4294138406,10507.13950799144,0.9988931662170808
2015,81,23431.664296499326,23422.48846789467,1060392.6699517567,45.272417207302404,0.0003915995248373605,1060808.0818925695,55162020.25841361,4596835.021534468,Arauca,23422.48846789467,46874418853.507484,2000473.302295923,10197.107060383549,0.9996084004751626
2016,81,20669.729024138913,20669.729024138913,931232.9046074997,45.052980787506684,0.0,931232.9046074997,48424111.039589986,4035342.586632499,Arauca,20669.729024138913,41274629706.64383,1996863.6095055582,10228.283923989608,1.0
2017,81,15372.746315841034,15363.27756911083,646535.1351015705,42.08315134535381,0.0006159437315663707,646933.6098032685,33640547.70976996,2803378.975814163,Arauca,15363.27756911083,26297873657.401295,1710681.5605421348,9380.777227867955,0.9993840562684336
2018,81,11511.401120278597,11511.401120278597,489521.8568734114,42.52495866998022,0.0,489521.85687341134,25455136.55741739,2121261.3797847824,Arauca,11511.401120278597,17374643935.914925,1509342.2385662142,8190.713365873709,1.0
2019,81,13054.25284692057,13027.54714033875,574848.7178073864,44.12562945386808,0.002045747611524207,576027.1239203195,29953410.44385661,2496117.536988051,Arauca,13027.54714033875,20163962898.862183,1544627.8799187467,8078.130376501861,0.9979542523884758
2021,81,18366.476671275963,18343.41225276019,845079.5456957852,46.06992058244907,0.0012557889533513222,846142.1216250872,43999390.32450454,3666615.8603753783,Arauca,18343.41225276019,27749387593.49033,1510871.5781556873,7568.119664067951,0.9987442110466487
2022,81,24588.399102846783,24546.43444919586,1182861.6251424153,48.18873501121323,0.0017066850702802672,1184883.848717037,61613960.13328592,5134496.677773827,Arauca,24546.43444919586,34581900428.86547,1406431.5567767755,6735.207479744482,0.9982933149297197
2023,81,28514.42769066901,28514.42769066901,1389525.574018186,48.730614168100274,0.0,1389525.574018186,72255329.84894568,6021277.48741214,Arauca,28514.42769066901,38416091991.19677,1347251.0270219436,6380.056735718962,1.0
2024,81,28966.777300403457,28966.777300403457,1428618.4888886255,49.31920710657472,0.0,1428618.4888886255,74288161.42220853,6190680.118517377,Arauca,28966.777300403457,38034399778.02214,1313035.2535797067,6143.816034728524,1.0
2025,81,36005.800350225145,36005.800350225145,1687278.1289236294,46.86128658470659,0.0,1687278.1289236294,87738462.70402873,7311538.5586690605,Arauca,36005.800350225145,63693799790.498795,1768987.1957005537,8711.408587865419,1.0
2014,8,757054.86887733,756959.0109974301,35583657.48684918,47.00869792138585,0.00012661946160130721,35588163.640968785,1850584509.3303769,154215375.77753142,Atlántico,756959.0109974301,947453153909.8917,1251498.6599517043,6143.700971015187,0.9998733805383987
2015,8,845442.316008528,844713.0913764063,38816675.205754064,45.952496299666386,0.0008625362349551358,38850184.89796326,2020209614.6940897,168350801.22450748,Atlántico,844713.0913764063,1103865699049.8552,1305666.4874090836,6556.93760303388,0.9991374637650449
2016,8,934004.403009619,933421.3840880989,41963905.23556473,44.95708578238879,0.0006242143180925641,41990116.067232266,2183486035.496078,181957169.62467316,Atlántico,933421.3840880989,1261789675388.6965,1350946.1746891807,6934.542222169186,0.9993757856819074
2017,8,937428.5944082356,936913.7556343799,42243521.96883298,45.08795149477775,0.0005492031893700178,42266734.99449621,2197870219.713803,183155851.6428169,Atlántico,936913.7556343799,1314571580996.321,1402316.495184534,7177.3386938242365,0.99945079681063
2018,8,966033.1301276636,965775.8092112031,43322668.33876341,44.85789344231678,0.00026636862487983137,43334211.213014476,2253378983.0767527,187781581.9230627,Atlántico,965775.8092112031,1374072593290.4924,1422386.614327508,7317.398113375534,0.9997336313751202
2019,8,1069738.2888898475,1068225.3857145675,48783007.0166395,45.667335441581095,0.0014142741182519014,48852097.273435645,2540309058.2186537,211692421.51822114,Atlántico,1068225.3857145675,1612249049049.0034,1507143.4441429244,7615.997953475303,0.9985857258817481
2021,8,990511.3807259536,989412.2459330023,43582290.70104234,44.048667155867705,0.001109663971902819,43630706.12369648,2268796718.432217,189066393.20268476,Atlántico,989412.2459330023,1390599684277.8098,1403920.9557174682,7355.086542466835,0.9988903360280972
2022,8,1166496.5446337063,1164606.2179608345,51114007.70805422,43.889519839205576,0.0016205163072003925,51196973.23806581,2662242608.379422,221853550.6982852,Atlántico,1164606.2179608345,1614720748266.9854,1384248.205187806,7278.318256276014,0.9983794836927996
2023,8,1233057.3922895016,1231657.257106489,55913471.74797009,45.396940930893905,0.0011354987949204753,55977033.602168575,2910805747.312766,242567145.60939717,Atlántico,1231657.257106489,1923815706187.4377,1560199.6453833818,7931.064618641034,0.9988645012050795
2024,8,1209186.9753406516,1208997.0785044276,54377998.03449156,44.97777455488898,0.00015704505597280427,54386539.17157993,2828100036.9221563,235675003.07684636,Atlántico,1208997.0785044276,1913381371089.5603,1582370.1463129995,8118.728529158714,0.9998429549440272
2025,8,1256860.111565948,1256546.1594352522,55237515.35491445,43.9597980067367,0.0002497908301860585,55251316.627163626,2873068464.612509,239422372.0510424,Atlántico,1256546.1594352522,2029145837586.4949,1614456.3893099767,8475.172224732205,0.9997502091698139
2014,11,3620902.1725722044,3615591.7681449205,170456716.40212783,47.144901120732825,0.001466597045208684,170707074.89376324,8876767894.475689,739730657.872974,Bogotá D.C.,3615591.7681449205,8563047737055.958,2364893.424053202,11575.899478978195,0.9985334029547913
2015,11,3617817.5869811964,3612144.9615248144,170698855.60950276,47.25692280562426,0.0015679688983754048,170966926.43280023,8890280174.505611,740856681.2088009,Bogotá D.C.,3612144.9615248144,7946766823824.311,2196563.7107909867,10726.456311169604,0.9984320311016246
2016,11,3535659.2854017583,3533192.6754986467,165830857.31327367,46.9351299359494,0.0006976378955110274,165946627.96957752,8629224654.418032,719102054.5348359,Bogotá D.C.,3533192.6754986467,7965434059244.992,2252885.0820363695,11076.917398598696,0.999302362104489
2017,11,3329229.5413709898,3327453.192911413,156504099.396453,47.03420012935389,0.0005335614253997312,156587648.5254002,8142557723.32081,678546476.9434009,Bogotá D.C.,3327453.192911413,7578517819885.187,2276357.855687032,11168.752734556352,0.9994664385746003
2018,11,3406080.6571038486,3403189.430188113,160744807.5323053,47.23357627595242,0.0008488427629291806,160881370.51936078,8365831267.006761,697152605.5838968,Bogotá D.C.,3403189.430188113,8061858116521.704,2366901.705544639,11563.979036942039,0.9991511572370708
2019,11,3568694.8330839546,3567192.9723888845,167599753.34547457,46.983652031932564,0.0004208431276182534,167670316.24577218,8718856444.780153,726571370.3983461,Bogotá D.C.,3567192.9723888845,8538974498901.436,2392744.3780678553,11752.423570199173,0.9995791568723817
2021,11,3134441.084553535,3129469.8939425983,147266139.4239826,47.05785465743924,0.0015859894880253522,147500072.9892265,7670003795.439777,639166982.9533148,Bogotá D.C.,3129469.8939425983,9209198560606.93,2938067.20630025,14408.12621148733,0.9984140105119746
2022,11,3588029.8763249717,3585460.633995056,170640626.99749246,47.59238614408052,0.0007160593469046628,170762903.37055552,8879670975.268887,739972581.2724072,Bogotá D.C.,3585460.633995056,10245669590305.645,2855514.0128319496,13846.012473445811,0.9992839406530953
2023,11,3808991.2263876526,3803993.5766082336,176621975.2523889,46.43067126571515,0.0013120664980261765,176854019.48639828,9196409013.292711,766367417.7743926,Bogotá D.C.,3803993.5766082336,10983111923157.979,2883469.9977962603,14331.39205611589,0.9986879335019738
2024,11,3964950.027902832,3962574.062326514,179756511.67696062,45.36357146885013,0.0005992422501158723,179864293.96118945,9352943285.981852,779411940.4984876,Bogotá D.C.,3962574.062326514,11685296188049.828,2947148.4144355017,14992.452105078448,0.9994007577498841
2025,11,4160820.0668823733,4159367.3150931345,186052937.27057043,44.73106681283916,0.00034915035158622487,186117920.40791735,9678131861.211702,806510988.4343085,Bogotá D.C.,4159367.3150931345,12038761982404.93,2893362.79600895,14926.965850491328,0.9996508496484138
2014,13,655328.3124304536,654753.235016821,29348971.91853759,44.824477908510985,0.0008775409252498312,29374749.463360652,1527486972.094754,127290581.00789617,Bolívar,654753.235016821,760513067953.7458,1160506.9604473328,5974.621703600907,0.9991224590747502
2015,13,714401.2321527441,714371.5550481892,30790909.277031165,43.102093104692706,4.154122812105587e-05,30792188.422354765,1601193797.962448,133432816.49687065,Bolívar,714371.5550481892,811494145504.8541,1135908.0989537695,6081.668414185695,0.9999584587718789
