depto,departamento,ocupados_inicio,ocupados_fin,horas_sem_inicio,horas_sem_fin,rem_trabajador_inicio,rem_trabajador_fin,rem_hora_inicio,rem_hora_fin,crec_ocupados,crec_rem_trabajador,crec_rem_hora,share_ocupados_remuneracion_valida_fin,ranking_rem_trabajador,ranking_rem_hora,ranking_crec_rem_trabajador,ranking_crec_rem_hora,rem_trabajador_rel_lider,rem_hora_rel_lider,rem_trabajador_brecha_lider,rem_hora_brecha_lider
5,Antioquia,2216839.4908533823,3311770.0767034027,47.02407680968584,44.8259338750056,1685996.673479852,2182042.497344591,8273.97754118773,11233.413898795647,0.027121283528209084,0.017342293073815185,0.020594354212665644,0.9996946459625347,2,2,7,9,0.7538911606412734,0.7522956681791928,0.24610883935872663,0.2477043318208072
8,Atlántico,760919.0698676498,1256860.111565948,47.45580346195584,43.9597980067367,1359575.2171888978,1614859.7664716777,6611.375304078794,8477.289773982578,0.03402228421168152,0.01153777321425875,0.01671137190273919,0.9997502091698139,10,11,15,15,0.5579307025870316,0.5677195225176023,0.4420692974129684,0.43228047748239773
11,Bogotá D.C.,3269608.6969012227,4160820.0668823733,48.31068730518667,44.73106681283916,2268061.6416596645,2894373.36748783,10834.01767970308,14932.179426187933,0.01619926633451496,0.01638905566069715,0.021618880844231247,0.9996508496484138,1,1,9,7,1.0,1.0,0.0,0.0
13,Bolívar,646900.0423447139,885761.33413306,47.97471073358167,43.710940975459465,1125701.600559124,1363169.477568969,5414.879807808414,7196.769612516412,0.02117138334494406,0.012842161326511059,0.01914642470238448,1.0,17,16,13,11,0.4709722293886815,0.48196377816722297,0.5290277706113184,0.518036221832777
15,Boyacá,428967.0211261067,522604.17780840414,41.97671980733322,40.14901986976799,1181958.067505909,1562312.5845155204,6497.876806280963,8979.887292870517,0.013249966717760575,0.018773697993877958,0.02180171555307897,0.9999665017641903,13,9,4,6,0.5397757601230033,0.601378207197381,0.4602242398769967,0.398621792802619
17,Caldas,392289.33006841835,466839.7189306313,47.94546497120082,43.62012617265772,1349005.4241247324,1784956.6408409935,6492.979976641731,9443.188434001011,0.011666618941515994,0.018843779739564637,0.02528587152326711,0.9998901696812273,8,6,3,3,0.6166988201630136,0.6324052346598263,0.3833011798369864,0.36759476534017366
18,Caquetá,172190.04403764955,153617.57973122044,48.72963415460856,46.314754451059976,1287342.9687471038,1566127.3894125754,6096.478083364618,7803.43148150043,-0.007579960002561892,0.013154135094601838,0.01659298134740461,0.9992786670343241,12,13,12,17,0.5410937673089132,0.5225915962284002,0.45890623269108677,0.47740840377159977
19,Cauca,482915.1096216211,627653.8564868355,40.692434067088,38.79690332407056,898017.1180809987,1152487.9885157372,5092.708861197487,6855.154504445907,0.01763013801269775,0.0167717068311779,0.02001030616549815,0.9999337079135951,20,18,8,10,0.3981822115493132,0.4590859986870633,0.6018177884506868,0.5409140013129368
20,Cesar,353503.7225172694,515871.15542724985,49.192518154829116,44.59242259757599,1236827.6656027017,1379240.6078960267,5802.137798412738,7137.676663190623,0.025517675794931582,0.007292011254912634,0.013906534665067527,0.9998358955970452,16,17,21,19,0.47652477160993845,0.47800635523255397,0.5234752283900616,0.521993644767446
23,Córdoba,598140.0017920486,791370.3113817273,44.40376258192559,39.86186782861398,936210.3663811664,1083436.288609747,4865.545925063193,6272.253974272314,0.018837982189565228,0.009784411804558468,0.017074589204887358,1.0,22,22,19,14,0.37432499233853683,0.42004946466636256,0.6256750076614632,0.5799505353336374
