"group_en","group_es","workers","mean_income","dimension_en","dimension_es","group_order","sector","employment_share","gap_to_overall","direction_en","direction_es","ratio_to_lowest"
"Men","Hombres",13281787.957339,10235.6759532229,"Sex","Sexo",1,NA,0.587865928570643,-0.574598191741904,"Below overall mean","Debajo del promedio total",1
"Women","Mujeres",9311438.34110082,10379.2066882822,"Sex","Sexo",2,NA,0.412134071429356,0.81960391765683,"Above overall mean","Sobre el promedio total",1.01402259466939
"Formal","Formal",10135948.6843843,15240.7841638641,"Formality","Formalidad",1,NA,0.448627767920167,48.0430893172225,"Above overall mean","Sobre el promedio total",2.43054530946066
"Informal","Informal",12457277.6140556,6270.52048959582,"Formality","Formalidad",2,NA,0.551372232079833,-39.0905864865063,"Below overall mean","Debajo del promedio total",1
"Higher education","Superior o universitaria",7564860.27854944,17666.6293903232,"Education","Educacion",4,NA,0.334828686201042,71.6068126577792,"Above overall mean","Sobre el promedio total",4.07709221479667
"Preschool or less","Preescolar o menos",663454.099001052,4333.14442244085,"Education","Educacion",1,NA,0.029365177431382,-57.9095091263866,"Below overall mean","Debajo del promedio total",1
"Primary","Basica primaria",4093161.65286478,5692.85196570732,"Education","Educacion",2,NA,0.181167647276097,-44.7018353539064,"Below overall mean","Debajo del promedio total",1.31379234355188
"Secondary","Secundaria",10271750.2680246,7084.59903118404,"Education","Educacion",3,NA,0.454638489091479,-31.1829420406694,"Below overall mean","Debajo del promedio total",1.63497874534108
"K - Finance and insurance","K - Finanzas y seguros",420682.692188047,21388.984124258,"Sector","Sector",10,"Actividades financieras y de seguros",0.0186275194218066,107.764328466768,"Above overall mean","Sobre el promedio total",3.54355652835276
"O - Public administration","O - Administracion publica",802546.664653073,21508.2035881203,"Sector","Sector",12,"Administración pública y defensa",0.0355361745570667,108.922380280057,"Above overall mean","Sobre el promedio total",3.56330785955305
"A - Agriculture","A - Agro y pesca",3106279.43766029,6036.02170675707,"Sector","Sector",1,"Agricultura, ganadería, silvicultura y pesca",0.137543763099982,-41.3684170678807,"Below overall mean","Debajo del promedio total",1
"I - Accommodation and food","I - Alojamiento y comida",1716476.10853071,6930.20892754633,"Sector","Sector",8,"Alojamiento y servicios de comida",0.0760042964506616,-32.6826278610831,"Below overall mean","Debajo del promedio total",1.14814181661876
"R/S - Arts and other services","R/S - Arte y otros servicios",1215925.51511264,8765.26757492975,"Sector","Sector",15,"Artes, recreación y otros servicios",0.0538402852525875,-14.8575771080484,"Below overall mean","Debajo del promedio total",1.45215971723849
"G - Commerce","G - Comercio",3843152.51858914,8534.83456936029,"Sector","Sector",6,"Comercio y reparación",0.170171959793829,-17.0959142997817,"Below overall mean","Debajo del promedio total",1.41398341225412
"F - Construction","F - Construccion",1564590.18821893,8406.10556800879,"Sector","Sector",5,"Construcción",0.0692788998915802,-18.3463380863727,"Below overall mean","Debajo del promedio total",1.39265661662524
"P - Education","P - Educacion",956349.749173239,19980.3753112798,"Sector","Sector",13,"Educación",0.0423464617336841,94.0816466525868,"Above overall mean","Sobre el promedio total",3.31018943966232
"D/E - Utilities and water","D/E - Servicios publicos y agua",303543.854078727,11295.3939622587,"Sector","Sector",4,"Electricidad, gas, agua y saneamiento",0.0134406980420626,9.71909314172099,"Above overall mean","Sobre el promedio total",1.87133090485973
"T - Household employers","T - Hogares empleadores",696105.54164236,6454.20679021609,"Sector","Sector",16,"Hogares como empleadores",0.0308230401139823,-37.3063287267545,"Below overall mean","Debajo del promedio total",1.06928157382053
"C - Manufacturing","C - Manufactura",2474766.72216407,9591.08283567753,"Sector","Sector",3,"Industrias manufactureras",0.109580845700553,-6.83592670660268,"Below overall mean","Debajo del promedio total",1.58897421209415
"J - Information and communication","J - Informacion y comunicaciones",394473.912785578,21902.5953334636,"Sector","Sector",9,"Información y comunicaciones",0.0174670139947777,112.75334932693,"Above overall mean","Sobre el promedio total",3.62864754262639
"L/M/N - Business services","L/M/N - Servicios empresariales",2027337.87674437,13459.3376035776,"Sector","Sector",11,"Inmobiliarias, profesionales y administrativas",0.0897690263347914,30.7388056660136,"Above overall mean","Sobre el promedio total",2.229835851735
"B - Mining","B - Minas",299216.984551931,11441.1380243002,"Sector","Sector",2,"Minas y canteras",0.0132491074498117,11.1347946543395,"Above overall mean","Sobre el promedio total",1.89547662022029
"Q - Health","Q - Salud",1000099.56681479,14858.5257777888,"Sector","Sector",14,"Salud y asistencia social",0.0442836714001428,44.3299790347354,"Above overall mean","Sobre el promedio total",2.46164220402907
"H - Transport","H - Transporte",1762387.90087149,7775.08602613764,"Sector","Sector",7,"Transporte y almacenamiento",0.0780372367626809,-24.4758181310831,"Below overall mean","Debajo del promedio total",1.2881143249425
