"year","firm_size","all","men","women","formal","informal"
2008,"All firm sizes",7803.44225661811,7809.29903920315,7794.02107336769,12091.4700231363,5670.24380596679
2008,"Solo",5431.46200074316,5758.00682968629,5013.22079622414,12403.9230704016,5031.67645978325
2008,"2-3",6271.05162586166,6171.72931816294,6517.02999134889,10230.9361177379,5831.16436106173
2008,"4-5",7244.14011142599,7234.68603336295,7266.86226249107,11254.0159787698,6290.45997800638
2008,"6-10",7501.84399646357,7578.5888133727,7348.99289776507,9618.23253701726,6211.53891065431
2008,"11-19",8693.04014006388,9014.6501469238,8196.24892576095,9925.41053454358,7141.85382246555
2008,"20-30",8923.24871155692,8788.72981219201,9150.80428910619,10085.847824025,6714.99507325298
2008,"31-50",10579.6071601558,9982.21331500018,11526.2223142516,10484.6381586848,10897.1156807749
2008,"51-100",10758.5590951483,10178.8017519605,11708.5935380634,11498.6760634646,6804.21190818313
2008,"101+",13026.3954402843,12988.0047861192,13077.6371671957,13438.741823295,9110.57909538874
2025,"All firm sizes",10294.8298594382,10235.6759532229,10379.2066882822,15240.7841638641,6270.52048959582
2025,"Solo",6533.76513252572,6815.94330631342,6132.69761504823,15989.6599232842,5677.46056154398
2025,"2-3",7242.1972511715,7191.30695518575,7338.59066658726,12590.9208124247,6440.65377428875
2025,"4-5",8241.63106098941,8343.8814439072,8063.68724449647,12036.4725051044,7032.81204222502
2025,"6-10",9662.91167231646,9705.2496434667,9600.60401833799,12355.1661890266,7316.302663752
2025,"11-19",11634.1517273551,12279.9585265339,10682.2064831963,13028.8055897551,9110.64508255484
2025,"20-30",11200.5711070232,11182.1441160897,11225.3385982939,11924.8204572743,8066.46369489474
2025,"31-50",12573.986897316,12313.4759866742,12945.3689563546,13093.8772178915,7676.23306977366
2025,"51-100",13216.7077347719,13184.4741672585,13258.1800274518,13413.9110018844,9961.98971446007
2025,"101+",16859.3782222075,16929.0285072006,16776.9789446494,16943.9325708686,12812.7195840565
