"year","firm_size","all","men","women","formal","informal"
2008,"All firm sizes",4840.24444842407,4840.24444842407,4840.24444842407,6864.9187488729,3775.7053118801
2008,"Solo",3595.90982083819,3729.09166605442,3356.18249944898,6397.72288957461,3356.18249944898
2008,"2-3",4195.22812431122,4195.22812431122,4027.41899933877,5626.84972173242,3872.19555873925
2008,"4-5",4661.36458256802,4576.6124992486,4840.24444842407,5453.79656160458,4195.22812431122
2008,"6-10",4974.86931893322,4871.87782178077,5151.74013665418,5768.43867092793,4559.34226340238
2008,"11-19",5411.84428036147,5265.01129601058,5537.70112409081,6114.5449911836,4840.24444842407
2008,"20-30",5768.43867092793,5411.84428036147,6146.00920211594,6292.84218646683,4840.24444842407
2008,"31-50",5808.29333810888,5663.55796782015,6292.84218646683,6292.84218646683,4840.24444842407
2008,"51-100",6083.08078025127,5873.31937403571,6292.84218646683,6292.84218646683,5034.27374917346
2008,"101+",7866.05273308354,7551.41062376019,8348.50396737933,8390.45624862244,5369.89199911836
2025,"All firm sizes",7138.79598662207,6971.15384615385,7141.30434782609,9134.61538461538,5000
2025,"Solo",4615.38461538462,4807.69230769231,4326.92307692308,9615.38461538462,4615.38461538462
2025,"2-3",5769.23076923077,5769.23076923077,5555.55555555556,8151.92307692308,5325.44378698225
2025,"4-5",6593.40659340659,6666.66666666667,6570,7692.30769230769,5769.23076923077
2025,"6-10",7141.30434782609,7141.30434782609,7141.30434782609,7805.28846153846,6293.70629370629
2025,"11-19",7525.08361204013,7465.90909090909,7692.30769230769,8142.14046822743,6730.76923076923
2025,"20-30",7821.42857142857,7802.1978021978,8026.75585284281,8209.61538461538,6730.76923076923
2025,"31-50",8209.61538461538,8026.75585284281,8514.86013986014,8307.69230769231,6784.61538461538
2025,"51-100",8410.25641025641,8212.5,8837.9705400982,8528.42809364549,7141.30434782609
2025,"101+",10033.4448160535,9855.76923076923,10489.5104895105,10096.1538461538,6938.03418803419
