codigo,actividad,actividad_corta,sector_code,dane_groups,group_order,pib_2010_billones,pib_2025_billones,crec_pib,ocupados_2010_millones,ocupados_2025_millones,crec_ocupados,horas_2010_millones,horas_2025_millones,crec_horas,horas_semanales_2010,horas_semanales_2025,crec_horas_semanales,pib_trabajador_2010,pib_trabajador_2025,crec_pib_trabajador,pib_hora_2010,pib_hora_2025,crec_pib_hora
A,Agropecuario,Agropecuario,A,A,0,39.943,63.89479103692442,0.031814559170768586,2.9563862670199876,3.1279581670110264,0.0037679330202080585,6913.397358993148,6825.459859585912,-0.0008530664504460272,44.970425784523464,41.9631070638652,-0.004603653213696712,13.510751435150661,20.4269966621645,0.02794134503397805,5.7776224807967935,9.361243396250927,0.03269551706990703
B,Minas,Minas,B,B,1,38.427,34.717519913310866,-0.006744875944656892,0.19136927809326013,0.299823920173771,0.030385180856968175,495.01741666489596,716.7003055876811,0.024977835188274566,49.74448249971961,45.96930817391204,-0.005247887653233252,200.80025583455117,115.79302909917726,-0.03603512306994183,77.62757169009532,48.44077732720253,-0.030949655732901094
C01,"Alimentos, bebidas y tabaco","Alimentos, bebidas y tabaco",C,C01,2,23.932,33.45819576995425,0.022590063213846934,0.5978903662379812,0.6586972624801123,0.006478001179062387,1412.1912677884575,1532.7996042716688,0.0054785045120993026,45.42224781346889,44.75032332118254,-0.0009930635997928983,40.02740527596029,50.79449646409368,0.01600835986073168,16.946712917633583,21.82816049580883,0.017018323738358765
C02,"Textiles, confecciones y cuero","Textiles, confecciones y cuero",C,C02,3,9.642,11.916225372851645,0.014218291361486557,0.6150423450456902,0.6809200403536807,0.006806644959345798,1473.2870625545966,1525.436900922193,0.002321681606133552,46.065842033300264,43.08189402458657,-0.00445464218543512,15.676969362627734,17.500183085611884,0.007361539019679508,6.544549426288531,7.811680290182942,0.011869053591946344
C03,"Madera, papel e impresión","Madera, papel e impresión",C,C03,4,5.406,6.4334044730749405,0.01166716438439619,0.1434257515516847,0.1372301954568444,-0.00293951885751087,343.7562885680425,294.7520530663849,-0.010200844036485024,46.09142908828001,41.30511287217136,-0.007282732909696388,37.69197610271473,46.88038555696797,0.014649746447848333,15.726257758132462,21.826495884071047,0.022093379539805724
C04,"Refinación, químicos y minerales","Refinación, químicos y minerales",C,C04,5,30.822000000000003,39.62718999617694,0.016893561062127915,0.2583840879827256,0.37181388673071347,0.024559825931260937,657.9199968512311,884.9213088812559,0.019957567284151878,48.96705416550388,45.769451023250205,-0.004491937445356919,119.28753136710426,106.57802575533432,-0.007482496068167643,46.847641274793894,44.78046759465519,-0.0030040526393492195
C05,"Metalurgia, maquinaria y equipo","Metalurgia, maquinaria y equipo",C,C05,6,13.136,15.482182079860861,0.011015782923302186,0.29139525443003084,0.31748116890551353,0.005732226550436703,744.1754432207285,755.2660309985915,0.0009867016907438853,49.112214417409405,45.748687394733466,-0.00471847747781684,45.079663447828,48.765670522236725,0.005253442450569246,17.651751505194127,20.498978431997998,0.01001919527563988
C06,Muebles y otras manufactureras,Muebles y otras manufactureras,C,C06,7,4.986999999999999,6.039120710309391,0.012843369760881629,0.23528151263943864,0.34716483606371557,0.026273689471923545,561.0978897198712,797.0011570010031,0.023673249331668034,45.861418995594015,44.148899124476415,-0.0025338661284337594,21.19588549076704,17.395542644189412,-0.01308648935349066,8.887932197516847,7.577304822283702,-0.01057943008460649
D,"Electricidad, gas y vapor","Electricidad, gas y vapor",D+E,D,8,14.887999999999998,21.878697007613656,0.02599601252424044,0.055666190007535046,0.08343828043470441,0.02734960078241344,141.77779628093953,199.6844708727592,0.02309447183052904,48.97939093652175,46.0230718839825,-0.004141850981052353,267.4513919128422,262.2141407232749,-0.001317553690722173,105.00939068412879,109.56634189924046,0.0028360437609638023
E,"Agua, saneamiento y desechos","Agua, saneamiento y desechos",D+E,E,9,7.03,8.391880274814245,0.01187514954418667,0.06615323466992988,0.2211988413751089,0.08379909546798969,165.91257884440586,497.6317523523899,0.07597434904850187,48.230846642014335,43.2635240397285,-0.00721973883555338,106.26842413792812,37.93817464253032,-0.06636280305506803,42.37171195194784,16.863635077834964,-0.059573166926329524
F01,Edificaciones,Edificaciones,F,F01,10,22.035,20.466390757447634,-0.004911103090774915,0.6470555075236512,1.0280010358434257,0.03134381300026634,1658.459470456832,2462.55689921003,0.02670440993215606,49.29013196564641,46.0669413698525,-0.0044984058755476175,34.05426542821688,19.90892036471144,-0.03515308438761333,13.28642658595108,8.31103263604309,-0.03079319881855791
F02,Obras civiles,Obras civiles,F,F02,11,9.751,11.939425353011725,0.01358992383173474,0.1171378138441624,0.21244230855047225,0.040486045034572316,311.4646653018916,516.937127445387,0.03435256570020817,51.13383036094585,46.79434465078393,-0.005894821332428801,83.24382776148202,56.2007889787883,-0.025849574178521406,31.306922056627844,23.096474830535545,-0.020073080066677185
F03,Actividades especializadas de construcción,Actividades especializadas de construcción,F,F03,12,8.542,9.082220023194926,0.00409660063909012,0.19428274607351254,0.33994172464932637,0.03800158341338955,467.7325231316064,773.0231734679123,0.034061406581732845,46.297761359960845,43.73052550207968,-0.0037959256465677216,43.96684817687252,26.716991074172697,-0.0326637100714291,18.262574393606,11.748962172053078,-0.028977781930471957
G,Comercio y reparación,Comercio y reparación,G+H+I,G,13,51.171,89.04674245592864,0.037623045515907005,3.3681929896937657,3.9027589035457777,0.009868867129978698,8558.449362389825,9338.51198654278,0.005832134315025828,48.8646479477136,46.015337716305346,-0.003997284148807512,15.192419245742936,22.81635751955544,0.027482952776636038,5.979003652796191,9.53543161739783,0.03160657739626771
H,Transporte y almacenamiento,Transporte y almacenamiento,G+H+I,H,14,32.834999999999994,49.775561576499086,0.028123477551572185,1.1746134400519703,1.7925080377381233,0.02857921260980456,3474.711148430032,4577.468202307941,0.018545517642501563,56.887964976871544,49.10897625365549,-0.009754907394875945,27.953877318607233,27.768668551862337,-0.00044307239796925746,9.44970634892507,10.874037650638936,0.009403565911555445
I,Alojamiento y comida,Alojamiento y comida,G+H+I,I,15,23.796,40.636968158629095,0.036321454440124024,0.8633264591965568,1.7338397050460204,0.04758416755364192,2082.022343586752,3788.3715873850188,0.040713398029804226,46.377463352720376,42.01847468677648,-0.006558680186893762,27.563153829601642,23.437557716761646,-0.010751129563001172,11.429272156131638,10.726764051854634,-0.004220127844990484
J,Información y comunicaciones,Información y comunicaciones,J,J,16,18.256,31.286882674260237,0.03656636156932591,0.40266202835911996,0.3980526886598733,-0.0007672515581882422,1038.1272401983201,919.06521190319,-0.008088216843617602,49.580005022534834,44.40198873581926,-0.0073265866204300645,45.338270594807916,78.59985264662826,0.03736227939459691,17.58551292470896,34.04207043096726,0.04501869941583636
