depto,departamento,pib_trabajador_2024,ranking_pib_trabajador,pib_hora_2024,ranking_pib_hora,pib_hora_relativo_lider
11,Bogotá D.C.,67.35302234200888,1,28552.655527650164,1,1.0
68,Santander,61.9732200167162,3,26128.599971341275,2,0.9151022729230402
50,Meta,63.109979706509776,2,25891.363932458004,3,0.9067935522629414
76,Valle del Cauca,54.5014374050746,4,23438.301092991045,4,0.8208799027569811
15,Boyacá,47.52142998216927,6,22600.864329271604,5,0.7915503448491895
5,Antioquia,47.6506061052204,5,20336.7006687438,6,0.7122525135726834
13,Bolívar,45.088287292392764,7,19766.958245019952,7,0.6922984177733587
25,Cundinamarca,40.405698914607,8,17366.391050824164,8,0.608223323886869
73,Tolima,40.044467638129944,9,16928.81606621272,9,0.5928981299066558
66,Risaralda,38.655499859920276,10,16386.415217954436,10,0.573901618435664
8,Atlántico,37.32461673411125,11,15958.572831669366,11,0.5589172893643889
17,Caldas,36.624378312858774,12,15563.3431486158,12,0.545075155392968
63,Quindío,33.78902433687455,13,15070.08736626014,13,0.527799852159684
41,Huila,31.620497535713756,15,14222.66245372801,14,0.49812047919518015
20,Cesar,32.55771875874887,14,13838.343193154089,15,0.48466046108226774
19,Cauca,26.649322562522446,17,13693.796767433027,16,0.4795980098653893
27,Chocó,28.597452300473012,16,11929.039055917356,17,0.417790879183387
44,La Guajira,24.816292562639465,19,11106.052906092627,18,0.38896742530086614
23,Córdoba,22.005281350538073,22,10658.428243878445,19,0.37329026134038246
18,Caquetá,24.871752097890372,18,10455.706980522395,20,0.3661903520811636
70,Sucre,21.995552674785333,23,10364.468872390604,21,0.36299491871618506
47,Magdalena,23.861711130466922,21,10252.572082998002,22,0.35907595610746235
54,Norte de Santander,24.336415701614847,20,10027.019385809337,23,0.35117642126488907
52,Nariño,17.779848211548238,24,9120.513222753736,24,0.31942784494848486
