depto,departamento,pib_trabajador_2024,ranking_pib_trabajador,rem_por_trabajador_2024,ranking_rem_trabajador,brecha_ranking_rem_menos_pib,share_ocupados_remuneracion_valida
11,Bogotá D.C.,67.35302234200888,1,2947148.4144355017,1,0,0.999400757749884
50,Meta,63.109979706509776,2,1833148.973438711,4,2,0.9993660128828302
68,Santander,61.9732200167162,3,1798426.6096841346,6,3,0.9998787737036215
76,Valle del Cauca,54.5014374050746,4,1794627.4620089084,7,3,0.9994812216949386
5,Antioquia,47.6506061052204,5,2119954.4145927005,2,-3,0.9998986276436341
15,Boyacá,47.52142998216927,6,1487851.043294151,13,7,0.9999815057459291
13,Bolívar,45.088287292392764,7,1330554.9499651527,16,9,0.9999426891476358
25,Cundinamarca,40.405698914607,8,1788958.8788621984,8,0,0.9998608309169847
73,Tolima,40.044467638129944,9,1495239.630319191,11,2,0.9995533986650087
66,Risaralda,38.655499859920276,10,1816850.388764765,5,-5,0.9997248594397247
8,Atlántico,37.32461673411125,11,1582370.1463129995,10,-1,0.999842954944027
17,Caldas,36.624378312858774,12,1852688.9689677493,3,-9,0.9998676860187596
63,Quindío,33.78902433687455,13,1705686.0244509606,9,-4,0.9999999999999999
20,Cesar,32.55771875874887,14,1260816.0306821219,17,3,0.999957785479818
41,Huila,31.620497535713756,15,1359693.5649072975,15,0,0.9998435067635059
27,Chocó,28.597452300473012,16,1159388.7106456188,18,2,1.0000000000000002
19,Cauca,26.649322562522446,17,1060471.2353647884,20,3,0.9994580026161259
18,Caquetá,24.871752097890372,18,1473931.851863072,14,-4,0.998648173387962
44,La Guajira,24.816292562639465,19,892333.0469178152,24,5,1.0
54,Norte de Santander,24.336415701614847,20,1490170.0387327948,12,-8,1.0
47,Magdalena,23.861711130466922,21,1153212.7752503268,19,-2,0.999736665637351
23,Córdoba,22.005281350538073,22,1044763.9808297885,22,0,0.9999350891761163
70,Sucre,21.995552674785333,23,1009875.7547591535,23,0,1.0
52,Nariño,17.779848211548238,24,1055936.988490818,21,-3,0.9996446898449456
