anio,depto,departamento,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2010,5,Antioquia,88492.49504848177,2216839.4908533823,104170433.12936671,5416862522.727069,88492495048481.77,39.91831407442862,16336.485313629677,46.99051670595504
2011,5,Antioquia,95753.27358456491,2245733.208314709,105190727.22930008,5469917815.923604,95753273584564.92,42.63786688019907,17505.43185599889,46.840259938196105
2012,5,Antioquia,99628.81171930865,2318398.850361033,108796797.46772818,5657433468.321865,99628811719308.66,42.97311125037608,17610.248936583786,46.92755840988524
2013,5,Antioquia,104011.82362270335,2372681.6741701514,108954645.10928816,5665641545.682984,104011823622703.34,43.83724321514037,18358.3487914015,45.920464719480414
2014,5,Antioquia,111128.94804581454,2310905.774353146,107280822.70321946,5578602780.567411,111128948045814.55,48.0889135676339,19920.57015296425,46.42371138358024
2015,5,Antioquia,115446.2569833156,2323629.1324160295,108268782.57177019,5629976693.73205,115446256983315.6,49.683598545383425,20505.63674834461,46.59469149416114
2016,5,Antioquia,119046.3841149867,2282716.292283985,106854257.36325385,5556421382.8892,119046384114986.69,52.15119571248784,21425.010076015067,46.810134804943374
2017,5,Antioquia,120973.26658047568,2241280.3112188047,103588615.55934516,5386608009.085948,120973266580475.69,53.9750721830464,22458.152955704605,46.21850066715387
2018,5,Antioquia,125172.9567513896,2236932.926586854,102930577.9082719,5352390051.230139,125172956751389.61,55.957402773976064,23386.36675453448,46.014154776345904
2019,5,Antioquia,129671.98068228063,2393451.1005892884,109645550.10359995,5701568605.3871975,129671980682280.62,54.17782742682909,22743.211501438123,45.810649767026476
2021,5,Antioquia,137020.32961372682,2211451.4605565486,100614504.86358164,5231954252.906245,137020329613726.81,61.95945606657963,26189.129910227097,45.49704420745474
2022,5,Antioquia,146040.20836687976,2937648.98824056,134199986.55771065,6978399301.000954,146040208366879.75,49.71329418575203,20927.465177570495,45.68278480339708
2023,5,Antioquia,146272.28860791906,3075272.3299899073,140164661.79696646,7288562413.442256,146272288607919.06,47.56401154508457,20068.743369494907,45.5779673331976
