sector_code,sector_name_short,crec_ocupados,crec_horas,crec_productividad_hora,crec_productividad_trabajador
A,Agropecuario,0.0037679330202080585,-0.0008530664504460272,0.03269551706990703,0.02794134503397805
B,Minas,0.030385180856968175,0.024977835188274566,-0.030949655732901094,-0.03603512306994183
C,Manufactura,0.010732567144197125,0.007290545556915884,0.009515082182928625,0.006077206706750493
D+E,Servicios públicos,0.06301098372745972,0.05605788578242876,-0.03246709562060168,-0.03879567655924898
F,Construcción,0.033900573700408776,0.029176853870530817,-0.026321630736615864,-0.030770205326676514
G+H+I,"Comercio, transporte y alojamiento",0.02141757216024809,0.015218605058415768,0.01902334909741854,0.012838912497513899
J,Información y comunicaciones,-0.0007672515581882422,-0.008088216843617602,0.04501869941583636,0.03736227939459691
K,Financieras,0.044865554348358705,0.043277731000169295,0.015571549382189742,0.014028242483847597
L,Inmobiliarias,0.02642101005844233,0.01891008344358891,0.008463356587022464,0.0010838366913195063
M+N,Profesionales y administrativas,0.04935308976755315,0.04534548549221484,-0.015241874072129624,-0.01900278249668752
O+P+Q,"Adm. pública, educación y salud",0.024998359781147172,0.0246136899581042,0.019953968851062154,0.019571192128577053
R+S+T,"Artes, otros servicios y hogares",0.01910415250908537,0.015218919643687823,0.0619511127930823,0.05790253016812574
