"term","estimate","std.error","statistic","p.value","conf.low","conf.high","specification","specification_order","tamano_empresa","premium","ci_low","ci_high"
"tamano_empresa::2-3",0.139065971125595,0.0329303800822409,4.2230296394481,0.000646607598261938,0.0692566838838822,0.208875258367307,"Raw",1,"2-3",14.9199911514588,7.17112648555158,23.229127091725
"tamano_empresa::2-3",0.192803446362062,0.0292418494833293,6.59340806989579,6.1807099942676e-06,0.130813494683321,0.254793398040802,"Sector-year FE",2,"2-3",21.2644420420978,13.9755191085153,29.0195036513121
"tamano_empresa::2-3",0.167924288989718,0.0266616011418955,6.29835725529048,1.06028597469033e-05,0.111404219443291,0.224444358536146,"+ worker controls",3,"2-3",18.2847052712223,11.7846670901397,25.1627067048274
"tamano_empresa::2-3",0.144695860078106,0.0289584047120541,4.9966792548443,0.000131747220876807,0.0833067844720289,0.206084935684183,"+ formality",4,"2-3",15.5688025945455,8.68751938394114,22.8857573421667
"tamano_empresa::4-5",0.28739337285454,0.0359423544029731,7.99595289814312,5.5819694881431e-07,0.211198985289189,0.363587760419891,"Raw",1,"4-5",33.2948456096637,23.5158108903378,43.848109307065
"tamano_empresa::4-5",0.325217013472829,0.0336031989994178,9.67815634096215,4.32181615298476e-08,0.253981413843177,0.396452613102481,"Sector-year FE",2,"4-5",38.4331031870451,28.9147843741145,48.6541993692622
"tamano_empresa::4-5",0.29306714913735,0.0351800002608754,8.3305044617432,3.26695035351754e-07,0.218488880157715,0.367645418116985,"+ worker controls",3,"4-5",34.0532803030826,24.4195181296055,44.4329814981081
"tamano_empresa::4-5",0.234298902532363,0.0438981249064206,5.33733281391467,6.67201575010295e-05,0.141239034917366,0.327358770147361,"+ formality",4,"4-5",26.4022255200851,15.1699911577823,38.7299109413087
"tamano_empresa::6-10",0.390456627927072,0.0338197730830966,11.5452172599652,3.59357453025655e-09,0.318761911749756,0.462151344104389,"Raw",1,"6-10",47.7655378566261,37.5423813670157,58.7485541623333
"tamano_empresa::6-10",0.402253034324064,0.0376658461834148,10.679516726248,1.0921913347859e-08,0.32240500740019,0.482101061247937,"Sector-year FE",2,"6-10",49.5189619108917,38.0443752690135,61.9473443039215
"tamano_empresa::6-10",0.336776263279307,0.0412191082457185,8.17039178217272,4.21429634123124e-07,0.249395657280033,0.42415686927858,"+ worker controls",3,"6-10",40.0425702030435,28.3249659710066,52.830131850613
"tamano_empresa::6-10",0.234451733624596,0.0521888744934833,4.49236999073187,0.000369322370828799,0.123816262025468,0.345087205223724,"+ formality",4,"6-10",26.4215451865572,13.1807895802955,41.2113057933572
"tamano_empresa::11-19",0.492308382059348,0.0388889890322043,12.6593257966069,9.44369045754396e-10,0.409867408128621,0.574749355990075,"Raw",1,"11-19",63.6088581783764,50.6618006567697,77.6685155609769
"tamano_empresa::11-19",0.468271279524195,0.0429214922068449,10.9099487330852,8.07030703335876e-09,0.377281780744421,0.559260778303969,"Sector-year FE",2,"11-19",59.7230639888223,45.8315176617336,74.9378843409766
