anio,grupo,ocupados,rem_total_mensual,horas_mensuales,rem_por_trabajador,rem_por_hora,horas_semanales
2010,Total,16819350.69721423,25413671230558.094,3414050988.5524387,1510978.1398854672,7443.846420505137,46.84235049368881
2011,Total,17404427.914752223,26528691099743.938,3511221236.014939,1524249.531767595,7555.402897327165,46.556073412154475
2012,Total,17759087.57377573,27135015218407.617,3555790938.7695446,1527950.9775309074,7631.21783188904,46.20547853639473
2013,Total,17881329.604848467,28450333762507.312,3560441790.220907,1591063.6619993343,7990.675157405709,45.94962630212445
2014,Total,18150648.79919872,29547259531699.754,3602321443.0883756,1627889.9921750538,8202.282888549786,45.80028833138508
2015,Total,18547050.08359409,28523796381554.94,3654701951.8928556,1537915.5312027675,7804.6846930381835,45.47314825418781
2016,Total,18504088.648936123,28643722954722.49,3643052254.7165728,1547967.2356827655,7862.561652152572,45.43343811322429
2017,Total,18475345.95312587,28637049122249.527,3618233306.9439044,1550014.2294983321,7914.64969030354,45.19411539602504
2018,Total,18671686.740473833,29445039892557.6,3651308095.4954333,1576988.747820561,8064.244134556469,45.12766158787662
2019,Total,19544919.139607165,31373902429496.348,3818154001.796246,1605220.374942259,8217.034308919057,45.081407380572536
2021,Total,17572693.058425426,30427644985891.594,3419630926.637299,1731529.9871639602,8897.932449047266,44.90749345197244
2022,Total,20624706.61370007,35793605486175.82,4017840678.9748917,1735472.2254521542,8908.667203625448,44.95550022633856
2023,Total,21543636.44867645,38335771427211.7,4172265622.874268,1779447.5653420568,9188.23845179882,44.692108068633544
2024,Total,21638456.40953554,40132734761919.31,4141722761.0980215,1854694.9007062167,9689.865081959188,44.17053405051644
2025,Total,22949096.711691156,43740263242434.69,4349542755.095316,1905968.8401657965,10056.289983859731,43.737696886338995
2010,Formal,5363761.204294015,13681184405319.68,1162491527.9796286,2550669.9281032616,11768.846547292367,50.01476864272825
2011,Formal,5610156.519621376,14132037981065.512,1213514815.2406845,2519009.5733762644,11645.54219163992,49.916946071062156
2012,Formal,5907597.324250383,14690168397504.559,1272522758.8747325,2486657.0267411717,11544.13018946301,49.708719481675885
2013,Formal,6244387.513408694,16263692046145.496,1342659918.0136652,2604529.589366796,12113.039071134295,49.61969381294109
2014,Formal,6700629.828073753,17432578680517.908,1429526151.0802379,2601632.850613581,12194.655318019037,49.23278239713179
2015,Formal,6960936.434980759,16782631417410.863,1479955730.8518689,2410973.2324336693,11339.955018621205,49.06354895943602
2016,Formal,7186916.855254889,17279065200887.86,1518639017.6213813,2404238.9175900724,11377.993717000481,48.76293478425073
2017,Formal,7190373.499177299,17346875575743.025,1513835802.2875314,2412513.8391945567,11458.88844056301,48.58533755510561
2018,Formal,7264979.619775002,18011739135860.543,1526054452.1280468,2479255.2874936173,11802.815496356372,48.47452167256815
2019,Formal,7716787.5353727685,19661519463886.77,1618426934.476728,2547889.179760474,12148.536980598237,48.398784729189416
2021,Formal,7165857.378359364,20139563248623.945,1496896499.5364738,2810488.9876045696,13454.212268423586,48.20604646450204
2022,Formal,8665735.09256331,23944822702843.86,1812885907.0744426,2763161.1683344245,13208.124465750294,48.277299245735264
2023,Formal,9343415.825973902,26108783492363.953,1933871592.8640745,2794351.0145169557,13500.784430933545,47.763908639396575
2024,Formal,9531826.946936103,27358170832898.3,1945224593.0806212,2870191.725594879,14064.273570370402,47.09464256093089
2025,Formal,10134031.960779373,29271893817964.08,2025121233.9833121,2888474.590493879,14454.390841770854,46.11547222166283
2010,Informal,11206905.274327304,11180669455560.453,2208742394.5114117,997658.9595321242,5062.006996987845,45.4817606530883
2011,Informal,11542578.509985724,11755280161598.447,2254701033.933427,1018427.5681060961,5213.675775493319,45.07793668158899
2012,Informal,11595549.849746611,11854128472392.168,2240261584.2004004,1022299.8155323534,5291.403716420541,44.58464231595555
2013,Informal,11362635.66130691,11568069062276.629,2171484593.7429004,1018079.7314191178,5327.26278400033,44.10172465810171
2014,Informal,11172470.28283057,11442857898965.156,2126415752.0374763,1024201.2383376046,5381.28909551244,43.92147080913434
2015,Informal,11331173.818731107,11148371772867.223,2131860458.6091995,983867.3337124437,5229.409705427103,43.41719631264789
2016,Informal,11049977.68190444,10775092376626.703,2079681504.6601496,975123.4515407309,5181.126221722836,43.432350262693454
2017,Informal,11039676.43018863,10722205405490.05,2064178258.1135237,971242.7237604142,5194.4183421877515,43.14880348239422
2018,Informal,11156938.903269503,10788918363725.43,2084682508.6713953,967014.2014100099,5175.329249824903,43.119406057085165
2019,Informal,11557098.023468614,11044207859364.537,2154528453.3872747,955621.1980669743,5126.044096563783,43.02108304774752
2021,Informal,10234875.928678721,9804248876172.164,1893078242.113073,957925.5229367348,5178.998235819647,42.68387939069026
2022,Informal,11690598.404432932,11112151376547.176,2159636849.2776427,950520.3234364447,5145.379594844373,42.63064363409388
2023,Informal,11899348.088935206,11366410697400.387,2187400391.263587,955212.8917019934,5196.310077842858,42.421206767250915
2024,Informal,11782956.013308462,11831371219687.127,2142052372.0022788,1004108.9185365695,5523.380928650115,41.952102477175856
2025,Informal,12452908.157335712,13408444734084.344,2265362976.449409,1076732.0022500728,5918.894620190146,41.98023986713258
