grupo,indicador,unidad,valor_2010,valor_2025,crec_anual
Total,Remuneración laboral total mensual,Billones de pesos de 2025,25.413671230558094,43.740263242434686,0.03686193804858107
Total,Ocupados,Millones,16.81935069721423,22.949096711691155,0.020932646051666337
Total,Remuneración por trabajador,Millones de pesos de 2025 al mes,1.5109781398854671,1.9059688401657964,0.01560268648330454
Total,Horas semanales por trabajador,,46.84235049368881,43.737696886338995,-0.0045613890926897716
Total,Remuneración por hora trabajada,Miles de pesos de 2025,7.443846420505137,10.056289983859731,0.020256473232051153
Formal,Remuneración laboral total mensual,Billones de pesos de 2025,13.68118440531968,29.271893817964077,0.05201469989282659
Formal,Ocupados,Millones,5.363761204294015,10.134031960779373,0.04332798288282702
Formal,Remuneración por trabajador,Millones de pesos de 2025 al mes,2.5506699281032614,2.8884745904938787,0.00832596954410958
Formal,Horas semanales por trabajador,,50.01476864272825,46.11547222166283,-0.005396706371534332
Formal,Remuneración por hora trabajada,Miles de pesos de 2025,11.768846547292368,14.454390841770854,0.013797135002018068
Informal,Remuneración laboral total mensual,Billones de pesos de 2025,11.180669455560453,13.408444734084343,0.012186886686420761
Informal,Ocupados,Millones,11.206905274327305,12.452908157335711,0.007053026381088845
Informal,Remuneración por trabajador,Millones de pesos de 2025 al mes,0.9976589595321242,1.0767320022500728,0.005097904649351781
Informal,Horas semanales por trabajador,,45.4817606530883,41.98023986713258,-0.00532658666573671
Informal,Remuneración por hora trabajada,Miles de pesos de 2025,5.062006996987845,5.918894620190146,0.010480315624546988
