codigo,actividad,actividad_corta,va_2010_billones,va_2025_billones,crecimiento_anualizado
"001,002,004-008,013","Cultivos agrícolas transitorios; cultivos agrícolas permanentes; Propagación de plantas (actividades de viveros, excepto viveros forestales); actividades de apoyo a la agricultura y la ganadería, y posteriores a la cosecha, explotación mixta (agrícola y pecuaria) y caza ordinaria y mediante trampas y actividades de servicios conexas","Cultivos, apoyo agropecuario y mixtos",22.863,37.24413925969323,0.03306658668991713
003,Cultivo permanente de café,Café,3.415,5.000923511497827,0.0257557660683172
009-012,Ganadería,Ganadería,10.902,17.320411265089817,0.031343814281775906
"014,015",Silvicultura y extracción de madera,Silvicultura,1.423,2.1380746483326276,0.027514275299906243
016,Pesca y acuicultura,Pesca y acuicultura,1.354,2.5980392331286484,0.04440386270543306
017,Extracción de carbón de piedra y lignito,Carbón,7.720999999999999,5.720123858936618,-0.019798283531644922
"018,021",Extracción de petróleo crudo y gas natural y actividades de apoyo para la extracción de petróleo y de gas natural,"Petróleo, gas y apoyo conexo",25.402999999999995,24.562529838366398,-0.0022404978536637588
019,Extracción de minerales metalíferos,Minerales metalíferos,4.203000000000001,2.9544347977393164,-0.02322545185135172
020,Extracción de otras minas y canteras,Otras minas y canteras,1.492,1.4943400199487789,0.00010448208197044728
022,Actividades de apoyo para otras actividades de explotación de minas y canteras,Apoyo a otras actividades mineras,0.164,0.1464791884992814,-0.007503908534836845
023-025,"Procesamiento y conservación de carne y productos cárnicos de bovinos, bufalinos, porcinos y otras carnes n.c.p.; procesamiento y conservación de carne y productos cárnicos de aves de corral y procesamiento y conservación de pescados, crustáceos y moluscos","Carnes, aves y pescado",5.217,8.42885772643039,0.03249952160707403
026,Elaboración de aceites y grasas de origen vegetal y animal,Aceites y grasas,1.173,1.7529084360892744,0.02714261487727465
027,Elaboración de productos lácteos,Lácteos,2.838,3.285583803426399,0.009810798435265777
"028,032,035","Elaboración de productos de molinería, almidones y productos derivados del almidón; elaboración de productos de panadería; elaboración de macarrones, fideos, alcuzcuz, y productos farináceos similares y elaboración de alimentos preparados para animales","Molinería, panadería y alimentos",3.908,4.874262889501658,0.014838558094949938
029,Elaboración de productos de café,Productos de café,0.48599999999999993,0.7345514543101475,0.027919402290945694
"030,031",Elaboración de azúcar y elaboración de panela,Azúcar y panela,2.104,2.4910422670913634,0.011320996848245723
033,"Elaboración de cacao, chocolate y productos de confitería",Cacao y confitería,0.658,0.9471276703676373,0.02457913802602185
034,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos; elaboración de otros productos alimenticios (platos preparados y conservados mediante enlatado o congelado, elaboración de sopas y caldos en estado sólidos, polvo o instantáneas entre otros)","Frutas, hortalizas y otros alimentos",1.983,2.656679300644052,0.019689063051441025
036,Elaboración de bebidas (incluido el hielo) y elaboración de productos de tabaco,Bebidas y tabaco,5.584999999999999,8.372832953181733,0.027361491994575493
